dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,아파트비율_퍼센트,station_count_일반철도,station_count_지하철,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,worker_density,business_density,station_density_지하철,기타지역비율_pct
11010530,사직동,0,1157671.2996191066,9.168483713512767,12.58037655219366,2.5210998310166377,0,59.92,0,6,1123,5344,2531,57319,4855,0.0495123270468601,0.0041937638097752,5.182818302502854e-06,75.73003990327693
11010540,삼청동,0,1476086.244918536,4.139636608127883,4.268350745238117,1.6338256690173247,0,0.0,0,1,249,1188,811,5068,992,0.0034334037170337,0.0006720474521107,6.774671896278083e-07,89.95818697761668
11010550,부암동,0,2273044.4091353468,8.225045558757389,2.190655582872993,2.096652083970634,0,4.06,0,0,1196,5294,2595,3959,894,0.0017417169607735,0.0003933051181943,0.0,87.48764677439898
11010560,평창동,0,8940655.329911664,4.803285419579791,0.7657532388125766,0.4736663363121697,0,17.64,0,0,2534,9706,5147,4246,1300,0.0004749092592564,0.0001454032117365,0.0,93.95729500529546
11010570,무악동,0,369245.4822686503,7.147563369387297,2.919003591673484,2.3624504108347524,0,95.16,0,1,1471,4371,2119,1424,362,0.0038565129929616,0.0009803776007388,2.7082254164056424e-06,87.57098262810447
11010580,교남동,0,346667.13479939464,15.764483741761255,8.100110599266191,4.165433365674306,0,65.34,0,2,1527,5870,2318,7053,566,0.0203451648333433,0.0016326901028884,5.769222978404471e-06,71.96997229329824
11010600,가회동,0,539599.8544892247,17.414913365347747,10.203017028739463,4.109892871629805,0,0.0,0,1,462,2232,1166,8964,959,0.0166123098908524,0.0017772428810048,1.8532251105368613e-06,68.272176734283
11010610,종로1·2·3·4가동,0,2415326.730085671,1.7796112622854712,21.688719150253,0.964531899910496,0,60.86,0,15,374,3886,2423,111951,16483,0.0463502509226011,0.0068243355214087,6.210339915132662e-06,75.56713768755102
11010630,종로5·6가동,0,602712.8344987278,7.392420472680321,29.245416769560663,2.8533965377225687,0,32.33,0,8,359,3497,1528,20911,7290,0.0346947979248601,0.0120953123653689,1.3273319468168972e-05,60.50876622003645
11010640,이화동,0,781806.2194507818,10.220077539615966,12.475704684534762,8.861895893515202,0,7.4,0,3,487,4510,1902,18513,1761,0.0236797809216311,0.0022524763249064,3.837268015172769e-06,68.44232188233407
11010670,창신1동,0,304915.0810513392,13.191554794111369,25.071075724852204,4.157565328375156,0,51.94,0,8,280,2483,1758,5212,2331,0.0170932837492269,0.0076447514235318,2.62368131223744e-05,57.57980415266127
11010680,창신2동,0,257320.96135152745,29.63861056374473,12.139633095179487,1.9318738562078053,0,13.61,0,5,495,4317,2698,1921,1011,0.0074653848246006,0.0039289453709897,1.943098600885128e-05,56.28988248486797
11010690,창신3동,0,216671.8870710232,18.350931419050863,5.653647351246437,3.41286993391121,0,80.14,0,3,708,3708,1929,1152,382,0.0053167949728947,0.0017630344441369,1.3845820241913376e-05,72.58255129579149
11010700,숭인1동,0,239215.32115701263,23.797794170604167,8.524258820719417,1.8382555795117188,0,40.6,0,5,533,3426,1823,1892,689,0.0079091923994243,0.0028802502976762,2.090167124583612e-05,65.8396914291647
11010710,숭인2동,0,351640.31189976155,17.280618215788074,23.250955474580408,2.838765385107826,0,52.75,0,6,487,6829,2505,5611,2239,0.0159566460669045,0.0063673018256637,1.7062890108969442e-05,56.62966092452369
11010720,청운효자동,0,2568560.056117465,7.364078428646762,3.5276484279119296,2.3233599087552728,0,5.93,0,1,1680,6719,2950,5330,1462,0.0020750926135773,0.0005691905067636,3.8932319204078403e-07,86.78491323468603
11010730,혜화동,0,1131570.126434548,17.061551562988214,7.627284755204207,7.489593086260005,0,17.4,0,2,1693,10547,3629,8696,2246,0.0076848971148816,0.0019848526816955,1.7674556381972573e-06,67.82157059554757
11020520,소공동,0,943090.0451435072,1.3303807375355354,22.0534761542169,2.686253699842476,0,96.49,0,8,289,1501,395,68391,4702,0.0725179958705512,0.0049857381319666,8.48275309564723e-06,73.92988940840509
11020540,회현동,1,897156.106999932,3.901961735745703,18.862476376128164,1.085226930987087,3,67.66,4,10,365,2274,1755,48793,8489,0.0543862986817519,0.0094621214008032,1.1146332195550998e-05,76.15033495713905
11020550,명동,0,968876.2596072336,2.163342593720772,31.892053672161108,3.2905623581199923,0,46.02,0,15,170,1481,944,140423,8437,0.1449338845968584,0.0087080263514074,1.5481853178986894e-05,62.654041375998126
11020570,필동,0,1463586.7173389706,2.87302168383506,10.308809679348435,4.028769853909783,0,46.24,0,8,336,2488,1188,26509,3505,0.0181123534982719,0.0023948017281467,5.466023915884253e-06,82.78939878290672
11020580,장충동,0,1017158.9421082004,5.424994692459099,11.498358873218011,1.063478068700618,0,8.01,0,13,390,3009,1149,7456,950,0.007330221159412,0.000933973994292,1.2780696763996315e-05,82.01316836562228
11020590,광희동,0,736648.8912997656,3.118857407219069,36.46787409137971,0.8711701171110047,0,75.61,0,16,307,3911,1572,33150,8662,0.04500108585117,0.0117586547705229,2.171998110463713e-05,59.54209838429021
11020600,을지로동,0,611191.8241216319,0.9361734867777648,43.31118257793366,1.05837301429628,0,90.3,0,16,205,2115,708,31160,8714,0.0509823573708163,0.0142573896703881,2.6178360652537283e-05,54.6942709209923
11020650,신당5동,0,319464.4409896149,16.753696092781446,14.13217977131634,3.685916396476245,0,67.33,0,5,966,6445,2750,4180,1574,0.0130843983352909,0.0049269959281693,1.565119418096998e-05,65.42820773942597
11020670,황학동,0,328391.1913211211,9.607153395094713,32.33959212343392,0.6194955383758399,0,72.45,0,8,1106,8648,2943,5479,2417,0.0166843695709104,0.0073601243389105,2.4361189371652463e-05,57.43375894309553
11020680,중림동,1,484023.16386115225,11.073081642976067,12.844267641974568,3.557092142840245,3,81.33,4,9,1648,7373,3127,7672,1248,0.0158504810774764,0.0025783889969617,1.859415142039734e-05,72.52555857220912
11020690,신당동,0,534537.9543277827,10.832981593187816,25.71174523792672,4.860491431027436,0,34.32,0,11,464,4781,2172,22759,11624,0.0425769579415463,0.021745883347798,2.057852002974691e-05,58.59478173785803
11020700,다산동,0,523575.8824797477,27.184819259856045,11.22872161993293,3.807369441082177,0,11.2,0,9,1128,8160,4032,8772,2049,0.0167540184591519,0.0039134728480166,1.7189485423206505e-05,57.779089679128845
11020710,약수동,0,485866.1432877514,13.083303490519585,7.5551310241491185,1.2283623437038715,0,81.68,0,5,1715,8907,5486,4279,1215,0.0088069524065967,0.0025006887529831,1.0290900218037768e-05,78.13320314162743
11020720,청구동,0,342312.10888944694,17.27114835846222,9.175480867404524,4.407018364340472,0,78.35,0,5,1364,7513,4094,4672,1235,0.0136483632291616,0.0036078186190099,1.4606553113400767e-05,69.14635240979278
11020730,동화동,0,326798.3838419116,11.9401815470339,11.627744586832828,3.2114715166112897,0,82.66,0,5,1333,5632,2973,4177,1255,0.0127815809575508,0.0038402882695059,1.5299953264963958e-05,73.22060234952198
11030510,후암동,1,865244.0803748902,21.674043482147063,5.142871992061927,2.6631241073752383,3,11.09,4,5,1794,9892,4312,4775,1277,0.005518673988357,0.0014758841221218,5.778716218174909e-06,70.51996041841576
11030520,용산2가동,0,1965379.646328625,5.5045553182518,1.5281863414429178,1.118336797542414,0,10.37,0,2,696,5431,2785,2067,734,0.0010517052030383,0.0003734647407015,1.0176150972794851e-06,91.84892154276288
11030530,남영동,1,1176908.797605099,4.99666053379922,8.091336818180633,0.7140750291200192,3,25.21,4,8,353,4071,2405,18878,1919,0.0160403253321366,0.0016305426587758,6.797468092864365e-06,86.19792761890012
11030570,원효로2동,0,708448.6920712206,10.752539765678089,10.044050640106985,2.7773084579362712,3,64.98,4,5,1710,8428,3498,5282,1262,0.0074557269411889,0.0017813569480841,7.057674120777079e-06,76.42610113627865
11030580,효창동,0,445853.9028966531,14.505998568654013,4.180895137123014,2.54423373134956,0,49.68,0,6,1428,6916,2341,2158,703,0.0048401505200052,0.0015767496828376,1.3457323039866263e-05,78.76887256287341
11030590,용문동,0,277325.00179992145,22.71204192644746,10.5042447291685,1.1841375259347453,0,52.39,0,6,1266,6995,3146,2096,850,0.0075579193593104,0.0030649959233844,2.1635265341537437e-05,65.5995758184493
11030630,이촌1동,0,2870622.4573845994,3.4900636969925256,1.0277952709423646,0.720134828807773,0,99.75,0,6,4807,14024,6102,4075,1469,0.0014195527487437,0.0005117357025532,2.090139016555193e-06,94.76200620325734
11030640,이촌2동,0,1204647.7115449945,2.540333986136832,1.491506473293843,0.461217691498073,0,84.42,0,1,868,4529,2471,1085,478,0.0009006782560516,0.0003967965035877,8.301182083425624e-07,95.50694184907124
11030650,이태원1동,0,582461.1004865179,17.763118593409388,15.732821156712696,1.1817058136193554,0,32.25,0,2,443,3682,1895,7749,1838,0.0133038927293073,0.0031555755370327,3.433705698621082e-06,65.32235443625856
11030660,이태원2동,0,873587.4397270826,16.52568383593838,5.709252225392434,0.8073884941925232,0,23.37,0,3,767,5431,2465,3032,1064,0.0034707458716582,0.0012179662293682,3.434115308369004e-06,76.95767544447666
11030690,서빙고동,0,2819832.46527736,4.139163315817066,1.424736725758356,0.4832627414830167,0,61.78,0,5,2031,7294,3107,4650,721,0.0016490341384611,0.0002556889492108,1.773154987592664e-06,93.95283721694156
11030700,보광동,0,714558.4725689037,23.03973597851204,5.280245257731391,2.5702886384884427,0,22.14,0,2,801,6762,3584,1821,882,0.0025484268536175,0.001234328657271,2.798931195626057e-06,69.10973012526813
11030710,청파동,1,885524.0864885414,21.66788829467936,9.776848328028825,6.83161531149293,3,1.19,4,8,1459,12679,4705,10412,2255,0.0117580087981233,0.0025465145831509,9.034198077697548e-06,61.72364806579888
11030720,원효로1동,0,588618.2441152311,14.075691936292452,16.844882381299257,1.772897209254835,3,66.05,4,9,2038,11901,3068,9884,2212,0.0167918682416801,0.0037579535158434,1.529004595053838e-05,67.30652847315346
11030730,한강로동,0,2867675.943997137,4.20622464578896,9.161125534946189,1.044720458827025,3,81.55,4,10,2208,14078,4730,53052,6011,0.0184999982689355,0.0020961224759588,3.487144361934611e-06,85.58792936043783
11030740,한남동,0,3029614.718166791,10.832671709203098,6.485232545027392,0.8975517873874316,0,54.34,0,6,2040,11005,4710,21222,3387,0.0070048511029056,0.0011179639376845,1.980449845322501e-06,81.78454395838207
11040520,왕십리2동,0,372143.4604807907,18.89710578576536,7.61601119464618,2.1634625093688724,0,81.3,0,7,2113,9953,4029,2409,1117,0.006473310042377,0.0030015306423143,1.88099503099376e-05,71.32342051021959
11040540,마장동,0,1034489.291812161,10.772673246722434,14.35645056461348,3.311861812378301,0,63.24,0,7,2387,13279,5907,12105,3557,0.0117014261004849,0.003438411618292,6.766623932539816e-06,71.55901437628579
11040550,사근동,0,1168326.7093078103,6.948837170303144,4.61531577278212,10.839002997433274,0,40.19,0,9,987,8867,2093,11029,1205,0.0094399964599284,0.0010313895851132,7.703324702090504e-06,77.59684405948147
11040560,행당1동,0,573130.4000000659,9.285650151307252,10.32370892183263,2.354463464333024,0,80.32,0,9,1828,8626,3231,9568,1543,0.0166942810917584,0.0026922319946261,1.5703232632297874e-05,78.03617746252709
11040570,행당2동,0,457322.1761841619,14.596370472755924,3.5772771629744247,3.487846531107789,0,95.74,0,8,3435,13558,5858,2131,930,0.004659734670499,0.0020335773081014,1.749313813420563e-05,78.33850583316186
11040580,응봉동,0,553164.5845739627,10.960089650509843,2.020367004050708,1.7058094186609374,0,73.28,0,2,2460,8812,3669,1006,553,0.0018186269114762,0.0009997024672429,3.615560460191442e-06,85.31373392677851
11040590,금호1가동,0,445096.9507123839,10.66698426135301,4.487869518463097,3.0570107681802674,0,85.05,0,3,2104,8632,4009,2109,870,0.0047382935258871,0.0019546303307358,6.74010458874422e-06,81.78813545200363
11040620,금호4가동,0,831211.830733361,8.234000317662446,2.732980245180653,1.6312700550777406,0,85.6,0,4,2115,8371,3668,2271,943,0.0027321555300398,0.0011344881835436,4.812251043663275e-06,87.40174938207916
11040650,성수1가1동,0,1884441.4977924544,4.847735368141818,5.0097376007869165,12.658301420871132,0,69.16,0,4,1721,9794,3877,15977,2863,0.0084783741064032,0.0015192830360288,2.12264482854183e-06,77.48422561020013
11040660,성수1가2동,0,929378.449226402,7.900587053409004,10.89543295143871,2.5768628032107133,0,66.72,0,4,1339,7648,2956,28072,4557,0.0302051333588212,0.0049032770275059,4.303951746768488e-06,78.62711719194158
11040670,성수2가1동,0,1184060.9126513745,9.729921737301414,13.140093642042585,2.027222320471044,0,46.49,0,1,1299,8743,4563,17452,3164,0.0147391065893508,0.0026721598240147,8.445511453902596e-07,75.10276230018496
11040680,성수2가3동,0,1053696.7254850871,3.994258319388027,31.27483400130433,1.3640148320016106,0,67.17,0,3,944,6387,2716,62482,7704,0.059297897097139,0.0073114016714631,2.847119030943584e-06,63.36689284730603
