행정동코드,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct
11230510,2059267.8580080527,6.397837507522926,10.337965366415949,28.891742367867874
11230520,1258764.6507890488,11.128107085957986,0.0,63.40289278855378
11230530,1458547.669432969,24.727162759802766,4.743987759199902,47.9832707368464
11230580,1944660.0929147715,12.409589296825915,23.752878159289725,20.1674107870534
11230590,1242291.612116843,15.318721401147394,21.992186257657917,44.08433760707669
11230600,809835.9157511075,9.690681226110309,4.804830372818572,47.27677794895753
11230630,701092.7189487013,31.83473949068325,0.0,46.96055879598504
11230640,2362171.475435159,32.99469621936802,4.24778787837648,40.37536824985603
11230650,1135047.6533913848,22.173759308520044,1.7595484727294466,51.57735969946341
11230660,1050626.2764697203,9.245213581681847,34.533097854927384,30.677079598959317
11230670,990779.0022442362,8.54962049092855,8.441096588411149,43.37118353000261
11230680,1449975.081151793,1.954753796235682,1.030636714404451,38.15940636979653
11230710,1665487.9013797638,11.949891857744143,6.999836453535055,23.986734376828423
11230720,2354662.636919847,0.0043873846133139,6.8889860635064375,17.25039920332069
11230730,953486.664653117,5.074914610117386,10.097411969137216,27.597473300344692
11230740,1300311.078114773,1.954339844342678,11.641038080086918,29.467161530733655
11230750,1629429.578736132,2.08002287033847,6.835310651202498,15.210338358539142
11230760,6367874.507025168,1.1765432338113728,0.2366478506034145,6.271794934234294
11230770,2345094.8771129805,4.495932912096156,3.4142906554197867,41.99222960489833
11230780,2329254.634192426,10.7272140122474,3.4194765741121307,37.38586910880733
11230790,1837396.610507752,15.994168798608394,6.36443343102181,35.41302246570946
11230800,2243374.709892442,1.1428906523574394,7.306176789755696,30.797265528289465
11250530,634952.3557059799,8.419895253004013,0.0,73.85699232682002
11250540,914343.4648566868,7.726324446478324,0.0,40.32311160188204
11250550,1518519.7017928208,3.3285903738149263,0.0,31.0277018666072
11250560,2475353.801416625,1.381471960914472,7.9655607631545085,17.241929618536304
11250580,2174364.728126114,1.6153527496744713,0.0,10.493262445745556
11250590,1799397.0474352178,0.9319850142194444,0.0,17.265856215084145
11250610,669009.1815196237,4.025278567751276,0.0,73.05701369595229
11250630,561881.0869638725,13.484516156152091,0.0,74.40434718951387
11250650,663685.9419805313,17.992974850604718,2.62708607296569,49.909650955221935
11250660,625157.3203783951,1.908785387935327,0.0,79.2810569471552
11250670,647366.910593564,21.03520401554076,0.0,54.6853800444506
11250700,912192.4417152164,4.15684397457861,0.0,53.00092820493706
11250710,1550480.183998424,3.7905784242460134,2.7039428193066284,33.028518697872606
11250720,735491.4921592422,3.10529608343203,0.0,76.5238087493955
11250730,1850883.410607988,9.572703788331827,0.0,32.185682876390395
11250740,1631642.7039356472,13.916830326892828,0.3033481066695226,42.19271507668711
11250750,2272204.272035799,0.0,0.0324378733980252,12.154549705951938
11250760,1804074.5399574884,5.238988236934811,0.0,42.409250541862306
11250770,1116420.4438503054,5.007217365760286,0.0,2.35808805960997
11090600,627046.1560334766,6.775494949242786,0.0,72.23806614794107
11090610,974313.6392701464,3.525944286497563,0.0,42.44513893486585
11090620,1081194.3306957716,3.806553362475583,0.0,24.01183516600415
11090630,1649989.8198120133,3.760648408589877,0.0,32.37517488749103
11090640,581626.1328821033,9.465018852359917,0.0,78.78500071035283
11090650,745657.282130043,11.082935906288585,0.0,71.74400349558508
11090690,924107.0320083672,2.7064966063545546,0.0,69.59394664047355
11090700,841218.3662060638,8.056514703773372,0.7345296853565789,54.92922123805998
11090710,1075813.3802050424,3.9935215986817303,2.640110632024975,67.25752210915005
11090720,929928.2600113568,5.936968143040299,0.8351415462849102,73.54842150071286
11090730,621921.1454554003,0.0028517239990924,0.0,92.23618513726274
11090740,10587928.054076124,0.5383335918150353,0.8408343284475539,6.874319006699259
11090750,2998060.8020883044,2.1398508850372067,2.793550724243582,29.95621238384259
11160510,1734485.9428017028,15.40534552378006,0.0,25.675910476428403
