dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
11110760,3344,14362,7991,3470,879
11110770,6130,21484,6878,15493,1650
11110780,5869,21097,9643,4833,1062
11110790,5283,24040,9000,11480,2373
11120510,5246,23319,9394,9117,1540
11120520,5564,24497,10549,6746,1357
11120550,3023,15006,6259,4731,1317
11120560,4451,18445,6875,5759,1353
11120570,5083,20025,8462,5114,820
11120580,3232,17435,6855,7682,2228
11120590,4143,15412,5783,7617,1447
11120600,5047,15325,4869,1942,547
11120650,4087,17374,6859,3768,1029
11120660,3172,13103,5452,2596,586
11120670,2191,9459,4377,3422,746
11120680,1061,5233,2584,2245,428
11120710,12750,33921,11090,12063,1630
11120720,3362,17861,8026,3712,1056
11120730,2937,15240,7523,4919,1545
11120740,7041,29660,11370,7240,2027
11130520,2999,10936,4458,3001,847
11130620,3721,14815,6165,4680,1004
11130640,2111,9359,4775,3860,1109
11130650,2069,8652,3723,1627,522
11130660,3280,13124,6152,2167,732
11130680,3851,16772,6948,5166,971
11130690,3737,9793,3072,2127,614
11130700,3985,15070,5884,5074,1113
11130710,3597,11313,4100,3012,520
11130720,4533,20342,8561,5713,1404
11130730,2037,11042,4570,24158,1728
11130740,2669,11125,3300,2343,785
11130750,1820,13916,2967,37600,3855
11130760,4601,24756,8697,10515,2115
11140590,4316,13556,4048,18743,2496
11140600,1112,7865,2571,10045,1517
11140610,2145,7900,2450,4337,680
11140630,3769,14933,4651,5450,1110
11140660,2296,17228,4628,57098,9476
11140680,2361,12627,3733,11061,2286
11140690,2650,14189,4638,4849,1455
11140700,3037,12005,4140,4331,1174
11140710,1591,10870,3388,6835,1839
11140720,2648,13070,4051,11025,1404
11140730,6589,26404,8243,11411,1486
11140740,7306,19452,5467,41630,2348
11140750,3340,13797,5174,16669,1995
11140760,3830,16858,4477,12679,1736
11140770,5026,26166,8584,18018,2577
11140780,4271,16099,4486,10869,1552
11150510,8264,19107,4569,21601,2807
11150520,4673,20468,6050,4345,1018
11150530,3108,15005,4791,4587,1129
11150540,5191,16923,4555,3791,1193
11150570,2586,13035,5809,4870,1452
11150580,3514,12893,5524,3603,835
11150590,2275,9936,4264,3768,707
11150600,3443,11045,4444,3917,828
11150610,2489,9514,3405,4668,813
11150620,1114,3783,1676,2188,395
11150630,2796,12645,6019,5040,958
11150640,5073,12620,3719,5273,1126
11150650,4382,12349,3769,3711,996
11150660,9378,28639,9701,8791,1321
11150690,5929,15420,3930,6868,666
11150700,5683,18242,6770,4231,804
11150710,11335,25190,6360,10652,1517
11150720,4506,22069,8188,15141,2792
11160510,8998,27050,6407,16915,1933
11160520,2937,16591,3968,15596,1645
