행정동코드,행정동명,행정동총면적_m2,주거용지면적_m2,상업업무용지면적_m2,공공시설용지면적_m2,주거용지비율,상업업무용지비율,공공시설용지비율
11010530,사직동,1157671.2996191066,15940930.746589437,13317513.813309878,5088245.032983554,13.769824605511316,11.503709056008873,4.395241580799033
11010540,삼청동,1476086.244918536,10401732.92393675,6263799.066602838,4090375.422352549,7.046832771286216,4.243518350073463,2.7710951419226144
11010550,부암동,2273044.4091353468,25893270.41780395,4657772.424031173,5107304.779051215,11.391449420758834,2.0491339303850045,2.2469005702330316
11010560,평창동,8940655.329911664,56659384.43036306,7858702.3948421115,4970990.137786259,6.337274208614736,0.8789850525330292,0.5559984088812172
11010570,무악동,369245.48226865026,3887658.6776226694,1296617.798018032,673794.3223125166,10.528656041332804,3.5115332760514524,1.8247869091659925
11010580,교남동,346667.13479939464,10700320.763864199,5621562.696615504,1880176.911584801,30.86626821448228,16.216024342395553,5.423579921046742
11010600,가회동,539599.8544892247,14507264.971425015,5361537.909534793,2700124.808875415,26.885227730754902,9.936136685229329,5.003939097484197
11010610,종로1·2·3·4가동,2415326.730085671,7725003.568787651,61376151.7140197,4799735.48447583,3.1983265338655227,25.411117655226175,1.9871992574294843
11010630,종로5·6가동,602712.8344987278,8522708.340886867,21527570.114579864,1950577.1513311183,14.14057881806208,35.7177894386208,3.236329209669809
11010640,이화동,781806.2194507818,13324684.881197995,11567791.234371282,5647895.165966493,17.043462369177075,14.796238436805536,7.224162491229776
11010670,창신1동,304915.0810513392,5816436.4179367535,10146599.317073729,1443617.4484563763,19.075594417573026,33.276803764800746,4.734490152073886
11010680,창신2동,257320.96135152745,12967217.859525174,2868611.730612096,549656.3190479183,50.39316576239039,11.14799088090329,2.136072849102371
11010690,창신3동,216671.88707102317,5615190.268063427,623790.5571900329,1338747.7233483032,25.915638359778608,2.878963974618266,6.178686775868958
11010700,숭인1동,239215.32115701263,8710055.927947901,1866657.8631370878,691928.4403715262,36.41094510928471,7.803253797075474,2.8924921573788676
11010710,숭인2동,351640.31189976155,9912820.582607016,9982704.984240199,1101290.6597486523,28.19022804596067,28.388966356866003,3.1318669176433493
11010720,청운효자동,2568560.056117465,30049972.660224803,5212989.332289485,7672431.564635447,11.699151276862558,2.0295376469293993,2.9870555474699687
11010730,혜화동,1131570.126434548,29991294.262525085,10688685.346062038,9275074.03718179,26.504141070800735,9.445888589990352,8.196640950929414
