dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
11010530,1123,5344,2531,57319,4855
11010540,249,1188,811,5068,992
11010550,1196,5294,2595,3959,894
11010560,2534,9706,5147,4246,1300
11010570,1471,4371,2119,1424,362
11010580,1527,5870,2318,7053,566
11010600,462,2232,1166,8964,959
11010610,374,3886,2423,111951,16483
11010630,359,3497,1528,20911,7290
11010640,487,4510,1902,18513,1761
11010670,280,2483,1758,5212,2331
11010680,495,4317,2698,1921,1011
11010690,708,3708,1929,1152,382
11010700,533,3426,1823,1892,689
11010710,487,6829,2505,5611,2239
11010720,1680,6719,2950,5330,1462
11010730,1693,10547,3629,8696,2246
11020520,289,1501,395,68391,4702
11020540,365,2274,1755,48793,8489
11020550,170,1481,944,140423,8437
11020570,336,2488,1188,26509,3505
11020580,390,3009,1149,7456,950
11020590,307,3911,1572,33150,8662
11020600,205,2115,708,31160,8714
11020650,966,6445,2750,4180,1574
11020670,1106,8648,2943,5479,2417
11020680,1648,7373,3127,7672,1248
11020690,464,4781,2172,22759,11624
11020700,1128,8160,4032,8772,2049
11020710,1715,8907,5486,4279,1215
11020720,1364,7513,4094,4672,1235
11020730,1333,5632,2973,4177,1255
11030510,1794,9892,4312,4775,1277
11030520,696,5431,2785,2067,734
11030530,353,4071,2405,18878,1919
11030570,1710,8428,3498,5282,1262
11030580,1428,6916,2341,2158,703
11030590,1266,6995,3146,2096,850
11030630,4807,14024,6102,4075,1469
11030640,868,4529,2471,1085,478
11030650,443,3682,1895,7749,1838
11030660,767,5431,2465,3032,1064
11030690,2031,7294,3107,4650,721
11030700,801,6762,3584,1821,882
11030710,1459,12679,4705,10412,2255
11030720,2038,11901,3068,9884,2212
11030730,2208,14078,4730,53052,6011
11030740,2040,11005,4710,21222,3387
11040520,2113,9953,4029,2409,1117
11040540,2387,13279,5907,12105,3557
11040550,987,8867,2093,11029,1205
11040560,1828,8626,3231,9568,1543
11040570,3435,13558,5858,2131,930
11040580,2460,8812,3669,1006,553
11040590,2104,8632,4009,2109,870
11040620,2115,8371,3668,2271,943
11040650,1721,9794,3877,15977,2863
11040660,1339,7648,2956,28072,4557
11040670,1299,8743,4563,17452,3164
11040680,944,6387,2716,62482,7704
11040690,857,6009,2854,2756,913
11040700,821,8046,3172,11442,2317
11040710,3606,16714,5949,10293,3148
11040720,2832,13347,5774,2969,1422
11040730,3896,15232,6274,4729,1361
11050530,916,19028,3249,16150,2999
11050540,1578,12833,4659,9773,2286
11050550,1235,10124,3880,6454,1977
11050560,2070,13139,5312,7667,2133
11050570,1442,9782,4503,5696,1537
11050580,2677,16666,8251,4421,1692
11050590,924,7760,2413,6811,1146
11050600,2022,16006,5099,6825,2280
11050610,3452,15328,6830,5372,1652
11050620,3858,17322,6660,15629,3261
11050630,7792,20057,6122,12054,2088
11050640,2101,14218,5514,10177,2067
11050650,2885,14363,6380,5573,1871
11050660,4368,16089,6764,7030,1809
11050670,1692,12336,5855,5834,2084
11060710,1011,7323,2060,11644,1318
11060720,1425,9274,3013,4043,1326
11060730,2811,15554,5799,5215,1197
11060800,1544,9619,7579,7852,1796
11060810,3883,25161,9366,28958,6720
11060820,1962,13427,7625,11403,4980
11060830,4034,19379,8744,7609,2708
11060840,2542,9914,5502,4972,1234
11060860,3298,15810,8405,8740,2603
11060870,4601,22705,10080,22014,5980
11060880,5336,19287,8069,11387,3477
11060890,1697,11662,4405,6706,1503
11060900,2578,11081,5741,2188,916
11060910,4187,17373,6283,9453,3471
11070520,2281,14007,7315,5735,2198
11070540,1945,10529,5681,5016,2463
11070550,2168,8723,3707,3117,1067
11070570,2096,12443,6686,4536,1767
11070590,3235,13510,6449,6508,1750
11070600,1389,14225,4690,9495,3249
11070610,2064,10888,5754,3586,1391
11070620,1853,14167,7833,6025,2237
11070640,4659,19911,9130,6227,2120
11070650,1816,10723,5522,4536,1788
11070680,1424,8925,5310,3717,1309
11070690,6093,20597,11076,15285,3047
11070700,2438,10939,6310,6553,1594
11070710,2819,20438,9534,7104,3015
11070720,2142,14415,7835,7438,2413
11070730,4652,21288,10521,12164,3913
11080580,1739,8136,4390,2164,625
11080590,4249,13659,5518,2852,940
11080600,1093,10841,2981,14041,1839
11080610,1935,10426,3809,5597,1587
11080620,2847,10338,4592,2333,1084
11080630,2836,13028,6685,3403,1332
11080640,1345,9013,4577,5881,896
11080650,3161,13748,7118,5112,1474
11080660,7905,20125,6722,4178,1576
11080680,4068,12929,4682,5598,1539
11080710,4028,14516,7035,5543,1668
11080720,2134,11495,5280,10384,1938
11080760,3197,13789,6385,3227,1481
11080770,1255,7448,4416,3532,1360
11080780,2783,9344,3400,2000,754
11080810,1678,9981,4266,7480,1764
11080820,2474,14047,5677,10727,2472
11080830,1238,10766,3002,10928,2601
11080840,5501,22123,10059,8511,2698
11080850,3633,19439,10718,9303,2576
11090600,1341,10779,5254,9154,2252
11090610,1331,7875,5669,3306,717
11090620,1794,8200,6360,2933,832
11090630,1918,11372,6570,5823,1753
11090640,2065,11202,7255,4118,1659
11090650,1594,14392,7009,8885,2992
11090690,2574,12641,7193,3522,1301
11090700,1701,12396,6756,6790,2088
11090710,3127,16570,8926,8670,2670
11090720,2087,13633,9035,6849,2304
11090730,6041,17641,6924,3210,1465
11090740,2069,10840,6906,5267,1385
11090750,3074,15778,10221,6251,1932
11100510,2289,11569,6785,4217,1118
11100520,1922,10071,5917,4733,1370
11100530,1590,9766,5096,4645,1227
11100540,2733,10152,5174,1992,796
11100550,3236,15430,9089,13212,2545
11100560,1901,9974,6670,3233,1292
11100570,4026,13778,8278,2995,1125
11100590,3064,13906,7072,3287,1383
11100600,3397,16574,8212,4298,1667
11100610,1413,7335,4445,2107,1028
11100620,3711,15405,7057,8554,1779
11100630,2882,14012,6987,7116,1847
11100640,1629,10215,8202,7132,1767
11100650,2821,13636,9527,7747,1681
11110510,2382,12130,6039,6394,1588
11110520,3246,13638,8607,3696,988
11110530,3605,16109,9004,4438,1148
11110560,7058,25309,9099,12302,2402
11110580,3724,15333,7083,8724,1468
11110590,3682,12345,5283,1545,719
11110600,5337,13457,4272,6001,1547
11110610,6898,15285,4143,4220,1273
11110640,2801,10573,5745,4143,1279
11110650,4727,20735,11382,9184,2603
11110660,2262,11292,5548,10794,3198
11110690,2537,12852,7623,5867,2527
11110720,3642,13791,4410,2054,733
11110730,2761,11547,5357,2626,841
11110740,2697,11122,4366,2382,665
11110760,3585,14837,9069,5383,1713
11110770,4529,19015,7856,15738,2525
11110780,4195,17844,10461,5458,1758
11110790,3929,21951,10104,13451,3539
11120510,4215,21361,10535,10719,2606
11120520,4221,21613,11605,6853,2257
11120550,1417,8626,4439,4635,1574
11120560,3291,16408,7742,6370,2117
11120570,3817,18214,9422,6221,1733
11120580,2348,17650,7371,7897,3175
11120590,4868,19951,7839,8179,2515
11120600,5323,16139,5882,2969,1257
11120650,2997,15674,7801,5376,1735
11120660,2189,10978,5767,3442,1146
11120670,2404,10657,5197,4121,1234
11120680,3210,12695,4536,2820,755
11120710,10417,31126,12839,13796,3028
11120720,2246,15607,8885,4616,1734
