행정구역코드,아파트비율_퍼센트
11240690,38.25
11240710,11.52
11240750,99.3
11240770,95.25
11240780,100.0
11240790,100.0
11240800,97.48
11240810,71.18
11240820,99.72
11250530,82.32
11250540,83.76
11250550,90.89
11250560,69.8
11250580,74.28
11250590,85.43
11250610,33.29
11250630,48.93
11250650,49.51
11250660,27.06
11250670,39.85
11250700,0.0
11250710,61.93
11250720,28.12
11250730,25.75
11250740,54.21
11250750,94.445
11250760,45.39
23010520,84.19
23010530,26.81
23010540,61.98
23010560,10.25
23010570,0.0
23010580,8.21
23010630,0.0
23010640,53.72
23010650,77.00666666666666
23010670,22.2
23020510,58.71
23020520,31.96
23020530,67.87
23020550,85.86
23020570,86.35
23020580,53.27
23020590,3.74
23020600,53.51
23020610,71.61
23020630,59.34
23020640,0.0
23040510,63.3
23040520,78.24
23040530,74.32
23040540,86.11
23040550,100.0
23040560,54.66
23040570,95.36
23040580,99.48
23040590,100.0
23040600,80.49
23040640,87.01
23040650,85.64
23040660,93.33999999999999
23050510,61.86
23050520,83.1
23050530,23.46
23050540,8.39
23050550,41.73
23050560,66.61
23050570,34.24
23050580,53.1
23050590,57.33
23050600,75.68
23050610,45.38
23050620,90.82
23050630,23.92
23050640,86.42
23050670,47.3
23050720,88.89
23050730,80.38
23050740,80.8
23050750,80.16
23060510,60.6
23060520,5.41
23060530,16.99
23060540,31.0
23060550,26.28
23060560,28.91
23060570,57.94
23060580,90.8
23060590,73.63
23060600,93.99
23060610,13.83
23060620,67.6
23060630,35.74
23060640,95.75
23060650,83.61
23060660,31.58
23060670,57.7
23060680,91.42
23060690,60.14
23060700,44.1
23060710,29.2
23060720,95.26
23070510,63.37
23070520,65.19
23070530,33.67
23070540,42.21
23070550,89.87
23070560,78.19
23070570,50.82
23070580,75.9
23070610,50.93
23070620,80.42
23070630,53.39
23070640,49.76
23080510,40.69
23080530,41.75
23080540,71.45
23080550,99.78
23080560,30.9
23080580,41.6
23080590,41.98
23080600,36.84
23080620,21.43
23080630,87.05
23080640,52.05
23080650,70.76
23080730,64.35
23080740,79.71
23080780,82.37
23080790,86.68
23080800,74.55
23080810,90.38
23080840,71.06
23080850,77.35499999999999
23080870,38.595
23090520,21.59
23090540,13.35
23090560,78.73
23090570,7.69
23090590,74.17
