dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
11010670,창신1동,0,0,305150.31326511275,39.449131827698906,0.0,38.09613508415773,305150.31326511275,39.449131827698906,0.0,38.09613508415773,0,0,280,2483,1758,5212,2331,51.94,51.94,0,8,8,280,2483,1758,5212,2331,0
11010680,창신2동,0,0,257519.3012519697,0.0,0.5134120672630001,92.7494719283576,257519.3012519697,0.0,0.5134120672630001,92.7494719283576,0,0,495,4317,2698,1921,1011,13.61,13.61,0,5,5,495,4317,2698,1921,1011,0
11010690,창신3동,0,0,216839.02271625292,0.0,0.0,91.14262813205367,216839.02271625292,0.0,0.0,91.14262813205367,0,0,708,3708,1929,1152,382,80.14,80.14,0,3,3,708,3708,1929,1152,382,0
11010700,숭인1동,0,0,239400.01273849377,0.5332425615424993,0.0,71.08689656085035,239400.01273849377,0.5332425615424993,0.0,71.08689656085035,0,0,533,3426,1823,1892,689,40.6,40.6,0,5,5,533,3426,1823,1892,689,0
11010710,숭인2동,0,0,351912.03285201045,41.59908356947392,0.0,38.75549018737657,351912.03285201045,41.59908356947392,0.0,38.75549018737657,0,0,487,6829,2505,5611,2239,52.75,52.75,0,6,6,487,6829,2505,5611,2239,0
11010720,청운효자동,0,0,2570520.16850812,2.21127230575232,0.0,24.805265033914026,2570520.16850812,2.21127230575232,0.0,24.805265033914026,0,0,1680,6719,2950,5330,1462,5.93,5.93,0,1,1,1680,6719,2950,5330,1462,0
11010730,혜화동,0,0,1132439.6073214295,2.6899751153836795,0.581464964834818,51.66676177310262,1132439.6073214295,2.6899751153836795,0.581464964834818,51.66676177310262,0,0,1693,10547,3629,8696,2246,17.4,17.4,0,2,2,1693,10547,3629,8696,2246,0
11020520,소공동,0,0,943810.4760997704,37.378983954393206,23.784820150202567,1.1141098998446044,943810.4760997704,37.378983954393206,23.784820150202567,1.1141098998446044,0,0,289,1501,395,68391,4702,96.49,96.49,0,8,8,289,1501,395,68391,4702,0
11020540,회현동,1,1,897841.8955781834,37.78877322421309,10.82646226470141,16.115547209658583,897841.8955781834,37.78877322421309,10.82646226470141,16.115547209658583,3,3,365,2274,1755,48793,8489,67.66,67.66,4,10,10,365,2274,1755,48793,8489,4
11020550,명동,0,0,969618.2272092276,57.97999882059185,7.307662470944071,10.403102052890112,969618.2272092276,57.97999882059185,7.307662470944071,10.403102052890112,0,0,170,1481,944,140423,8437,46.02,46.02,0,15,15,170,1481,944,140423,8437,0
11020570,필동,0,0,1464710.152084539,5.867950769577224,8.679950020518042,17.99261641603558,1464710.152084539,5.867950769577224,8.679950020518042,17.99261641603558,0,0,336,2488,1188,26509,3505,46.24,46.24,0,8,8,336,2488,1188,26509,3505,0
11020580,장충동,0,0,1017941.3323766872,7.717093353901861,24.93483969022728,20.025563876040444,1017941.3323766872,7.717093353901861,24.93483969022728,20.025563876040444,0,0,390,3009,1149,7456,950,8.01,8.01,0,13,13,390,3009,1149,7456,950,0
11020590,광희동,0,0,737215.7623067346,42.4070972697937,15.60932912440924,18.517912091305355,737215.7623067346,42.4070972697937,15.60932912440924,18.517912091305355,0,0,307,3911,1572,33150,8662,75.61,75.61,0,16,16,307,3911,1572,33150,8662,0
11020600,을지로동,0,0,611661.3136258341,64.7378289900747,3.580499664417385,10.476908743678196,611661.3136258341,64.7378289900747,3.580499664417385,10.476908743678196,0,0,205,2115,708,31160,8714,90.3,90.3,0,16,16,205,2115,708,31160,8714,0
