dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11020720,청구동,5,342312.11,27.45,7.17,4.9,0,1838.0,8739.0,3720.0,4328.0,790.0,0,0,76.19,0.012643432333940993,0.0023078353844300796,1.460655306601316e-05,60.480000000000004
11020650,신당5동,5,319464.44,25.5,18.64,5.12,0,1265.0,6866.0,2423.0,4006.0,1142.0,0,0,63.03,0.012539736816637878,0.0035747327620071034,1.565119422945317e-05,50.739999999999995
11020730,동화동,5,326798.38,17.48,14.75,3.36,0,1709.0,6577.0,2544.0,3987.0,947.0,0,0,81.45,0.012200182876910215,0.0028978111824514608,1.5299953444833478e-05,64.41
11020670,황학동,8,328391.19,15.29,41.12,2.11,0,1294.0,8647.0,2709.0,5602.0,1906.0,0,0,50.88,0.017058922926127863,0.005804053391145966,2.436118946965778e-05,41.480000000000004
11020680,중림동,9,484023.16,14.45,10.45,2.92,3,1856.0,7946.0,2820.0,7478.0,964.0,1,4,73.12,0.015449673936770925,0.0019916402346947274,1.8594151568726708e-05,72.18
11030510,후암동,5,865244.08,33.72,6.75,3.57,3,2419.0,11243.0,4234.0,3551.0,821.0,1,4,11.19,0.004104044259926008,0.0009488652034354415,5.778716220678694e-06,55.96
11030520,용산2가동,2,1965379.65,8.74,1.76,1.23,0,1099.0,6406.0,2897.0,2003.0,534.0,0,0,9.69,0.0010191415180216242,0.0002717032304660746,1.0176150953785564e-06,88.27
11030530,남영동,8,1176908.8,7.66,12.76,1.35,3,502.0,4888.0,2381.0,20308.0,1605.0,1,4,16.52,0.017255372718623097,0.0013637420333558238,6.797468079032143e-06,78.23
11030710,청파동,8,885524.09,35.33,13.13,8.18,3,2039.0,13135.0,4657.0,8433.0,1576.0,1,4,1.21,0.00952317401088972,0.001779737014249045,9.034198041873326e-06,43.36
11030720,원효로1동,9,588618.24,18.57,26.31,2.8,3,2262.0,10897.0,2832.0,10019.0,1710.0,0,4,54.34,0.017021219049939376,0.002905108750912899,1.529004605743631e-05,52.32
11030570,원효로2동,5,708448.69,16.03,10.99,4.49,3,2400.0,8800.0,3362.0,6759.0,870.0,0,4,68.46,0.009540563904359249,0.001228035300605496,7.057674141410896e-06,68.49
11030580,효창동,6,445853.9,22.87,7.03,3.07,0,1596.0,6560.0,2022.0,2115.0,351.0,0,0,46.22,0.004743706402372084,0.0007872534029468565,1.345732312729669e-05,67.03
11030590,용문동,6,277325.0,34.27,14.8,1.8,0,1779.0,7776.0,2889.0,1715.0,556.0,0,0,54.22,0.006184080050259296,0.0020048679346613228,2.163526548195672e-05,49.129999999999995
11030730,한강로동,10,2867675.94,4.84,11.67,1.4,3,1827.0,11866.0,4297.0,41402.0,4875.0,0,4,46.24,0.014437475107405486,0.0016999828788126599,3.4871443667951994e-06,82.09
11030630,이촌1동,6,2870622.46,4.11,0.83,0.73,0,5873.0,16365.0,6104.0,3590.0,790.0,0,0,99.47,0.0012505998437661126,0.00027520163692903315,2.0901390146508847e-06,94.33
11030640,이촌2동,1,1204647.71,2.98,1.6,0.5,0,1125.0,5253.0,2522.0,767.0,281.0,0,0,84.08,0.0006367006666153319,0.00023326321684342667,8.301182094072123e-07,94.92
11030650,이태원1동,2,582461.1,30.08,17.64,2.41,0,581.0,4144.0,2136.0,6984.0,1519.0,0,0,32.21,0.011990500309600239,0.002607899480281037,3.4337057014891866e-06,49.870000000000005
11030660,이태원2동,3,873587.44,27.68,5.32,1.76,0,973.0,5735.0,2546.0,2155.0,664.0,0,0,23.12,0.0024668394957410695,0.0007600841880148817,3.4341153072961524e-06,65.24000000000001
11030740,한남동,6,3029614.72,15.37,6.85,1.59,0,2331.0,13240.0,5063.0,17852.0,2020.0,0,0,40.07,0.0058924984362173525,0.0006667514475217932,1.9804498441241383e-06,76.19
11030690,서빙고동,5,2819832.47,5.8,1.43,0.92,0,2380.0,8101.0,2848.0,4641.0,372.0,0,0,61.55,0.0016458424567270626,0.0001319227308559507,1.7731549846229936e-06,91.85
11030700,보광동,2,714558.47,37.96,7.77,2.81,0,1337.0,9079.0,3869.0,1988.0,752.0,0,0,15.62,0.0027821376184543425,0.001052398133338866,2.7989312056884735e-06,51.46
11040520,왕십리2동,7,372143.46,26.67,10.9,2.52,0,2554.0,11102.0,3674.0,2650.0,717.0,0,0,77.84,0.007120909769390521,0.0019266763413784919,1.8809950334239114e-05,59.91
11040710,왕십리도선동,10,709747.34,16.93,14.42,3.9,0,4169.0,17872.0,5229.0,9902.0,2063.0,0,0,76.64,0.013951443621980305,0.0029066681672536222,1.4089520927065547e-05,64.75
11040540,마장동,7,1034489.29,15.55,18.95,4.02,0,3124.0,14864.0,5316.0,11518.0,2669.0,0,0,60.38,0.01113399637021729,0.0025800170439407833,6.766623944393212e-06,61.480000000000004
11040550,사근동,9,1168326.71,10.79,6.75,9.0,0,1262.0,8458.0,1982.0,10779.0,1009.0,0,0,38.93,0.00922601521273766,0.0008636282910893681,7.703324697526574e-06,73.46000000000001
11040560,행당1동,9,573130.4,18.81,17.05,4.6,0,2202.0,10321.0,3470.0,8551.0,1288.0,0,0,66.39,0.014919815804310507,0.002247307070044665,1.570323263229968e-05,59.540000000000006
11040570,행당2동,8,457322.18,16.47,3.77,4.23,0,4282.0,15152.0,5120.0,1937.0,514.0,0,0,95.72,0.004235526035403847,0.0011239341157447485,1.749313798824511e-05,75.53
11040580,응봉동,2,553164.58,13.8,3.25,2.36,0,3079.0,9652.0,3389.0,927.0,268.0,0,0,73.49,0.001675812287155555,0.0004844851056717247,3.6155604900874974e-06,80.59
11040590,금호1가동,3,445096.95,13.9,4.63,3.32,0,2516.0,9804.0,3533.0,2006.0,464.0,0,0,84.13,0.004506883275553632,0.0010424695113942597,6.740104599531852e-06,78.15
11040720,금호2·3가동,2,630718.95,28.83,6.23,2.75,0,3480.0,15018.0,5466.0,2535.0,878.0,0,0,67.59,0.004019222824936223,0.0013920621855203169,3.170984477267237e-06,62.19
11040620,금호4가동,4,831211.83,10.74,3.24,2.66,0,2486.0,9354.0,3238.0,1939.0,579.0,0,0,84.08,0.0023327386954738994,0.0006965733391848313,4.812251047909024e-06,83.36
11040730,옥수동,4,1920719.09,5.76,1.9,1.35,0,4425.0,16910.0,5611.0,4126.0,805.0,0,0,94.32,0.0021481537937848676,0.00041911386427455604,2.082553362854937e-06,90.99
11040650,성수1가1동,4,1884441.5,6.08,4.48,3.08,0,2345.0,11134.0,3352.0,10606.0,1682.0,0,0,63.27,0.005628192756285465,0.0008925721493562279,2.122644826055239e-06,86.36
11040660,성수1가2동,4,929378.45,13.61,13.66,2.91,0,1898.0,9442.0,2998.0,21371.0,2736.0,0,0,51.99,0.02299493817590676,0.002943902992339193,4.303951743185955e-06,69.82
11040670,성수2가1동,1,1184060.91,13.18,15.01,3.04,0,1919.0,10917.0,4236.0,18235.0,2367.0,0,0,43.25,0.015400390170676266,0.001999052565615066,8.445511472813966e-07,68.77
11040680,성수2가3동,3,1053696.73,5.51,34.24,1.5,0,1208.0,7495.0,2639.0,52912.0,5468.0,0,0,50.65,0.05021558717326364,0.005189348931497686,2.8471190187441587e-06,58.75
11040690,송정동,1,681394.47,18.28,7.27,1.83,0,1255.0,7121.0,2584.0,2591.0,593.0,0,0,32.36,0.003802496371832861,0.0008702741599756413,1.4675786846132232e-06,72.62
11040700,용답동,5,2375334.16,6.52,9.84,14.71,0,1214.0,7948.0,3070.0,13189.0,1774.0,0,0,13.97,0.005552481929508593,0.0007468422884940666,2.10496699124596e-06,68.93
11050530,화양동,4,1135446.81,19.88,12.92,9.96,0,1277.0,17629.0,3151.0,14945.0,2369.0,0,0,18.53,0.013162219373242483,0.00208640332520652,3.5228422544643648e-06,57.239999999999995
11050540,군자동,3,737460.14,34.13,14.26,7.41,0,2101.0,13600.0,4165.0,9904.0,1476.0,0,0,16.45,0.013429878392974163,0.0020014641062227247,4.068016476062448e-06,44.199999999999996
11050550,중곡1동,3,614033.6,28.94,18.88,3.5,0,1667.0,10580.0,3585.0,6146.0,1446.0,0,0,3.86,0.010009224250757464,0.0023549199913106564,4.885726123051154e-06,48.68
11050560,중곡2동,4,545123.04,45.07,19.9,3.38,0,2852.0,14724.0,4649.0,6790.0,1505.0,0,0,5.67,0.012455903533036213,0.002760844597528645,7.337792950242247e-06,31.650000000000006
11050570,중곡3동,2,601404.25,31.3,16.15,3.96,0,1943.0,11071.0,4048.0,4369.0,1127.0,0,0,11.71,0.00726466432508143,0.001873947515304823,3.3255501602570063e-06,48.59
11050580,중곡4동,3,2311686.98,15.82,4.48,1.53,0,3867.0,19080.0,7168.0,4453.0,1226.0,0,0,4.27,0.0019262988624786635,0.0005303486201210063,1.2977535565766877e-06,78.17
11050590,능동,4,1091266.62,16.51,4.6,1.3,0,1191.0,8134.0,2270.0,5658.0,737.0,0,0,0.79,0.005184800759275631,0.0006753619935641816,3.665465365341556e-06,77.59
11050630,광장동,1,2391913.44,6.25,3.95,3.28,0,9176.0,21488.0,5229.0,16050.0,1334.0,0,0,84.64,0.006710109041376053,0.0005577124897941218,4.18075329680751e-07,86.52
