dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1106071,회기동,서울특별시,동대문구,1011,7323,2060,11644,1318,2023,2023
1106072,휘경1동,서울특별시,동대문구,1425,9274,3013,4043,1326,2023,2023
1106073,휘경2동,서울특별시,동대문구,2811,15554,5799,5215,1197,2023,2023
1106080,청량리동,서울특별시,동대문구,1544,9619,7579,7852,1796,2023,2023
1106081,용신동,서울특별시,동대문구,3883,25161,9366,28958,6720,2023,2023
1106082,제기동,서울특별시,동대문구,1962,13427,7625,11403,4980,2023,2023
1106083,전농1동,서울특별시,동대문구,4034,19379,8744,7609,2708,2023,2023
1106084,전농2동,서울특별시,동대문구,2542,9914,5502,4972,1234,2023,2023
1106086,답십리2동,서울특별시,동대문구,3298,15810,8405,8740,2603,2023,2023
1106087,장안1동,서울특별시,동대문구,4601,22705,10080,22014,5980,2023,2023
1106088,장안2동,서울특별시,동대문구,5336,19287,8069,11387,3477,2023,2023
1106089,이문1동,서울특별시,동대문구,1697,11662,4405,6706,1503,2023,2023
1106090,이문2동,서울특별시,동대문구,2578,11081,5741,2188,916,2023,2023
1106091,답십리1동,서울특별시,동대문구,4187,17373,6283,9453,3471,2023,2023
1107052,면목2동,서울특별시,중랑구,2281,14007,7315,5735,2198,2023,2023
1107054,면목4동,서울특별시,중랑구,1945,10529,5681,5016,2463,2023,2023
1107055,면목5동,서울특별시,중랑구,2168,8723,3707,3117,1067,2023,2023
1107057,면목7동,서울특별시,중랑구,2096,12443,6686,4536,1767,2023,2023
1107059,상봉1동,서울특별시,중랑구,3235,13510,6449,6508,1750,2023,2023
1107060,상봉2동,서울특별시,중랑구,1389,14225,4690,9495,3249,2023,2023
1107061,중화1동,서울특별시,중랑구,2064,10888,5754,3586,1391,2023,2023
1107062,중화2동,서울특별시,중랑구,1853,14167,7833,6025,2237,2023,2023
1107064,묵1동,서울특별시,중랑구,4659,19911,9130,6227,2120,2023,2023
1107065,묵2동,서울특별시,중랑구,1816,10723,5522,4536,1788,2023,2023
1107068,망우3동,서울특별시,중랑구,1424,8925,5310,3717,1309,2023,2023
1107069,신내1동,서울특별시,중랑구,6093,20597,11076,15285,3047,2023,2023
1107070,신내2동,서울특별시,중랑구,2438,10939,6310,6553,1594,2023,2023
1107071,면목본동,서울특별시,중랑구,2819,20438,9534,7104,3015,2023,2023
1107072,면목3·8동,서울특별시,중랑구,2142,14415,7835,7438,2413,2023,2023
1107073,망우본동,서울특별시,중랑구,4652,21288,10521,12164,3913,2023,2023
1108058,돈암1동,서울특별시,성북구,1739,8136,4390,2164,625,2023,2023
1108059,돈암2동,서울특별시,성북구,4249,13659,5518,2852,940,2023,2023
1108060,안암동,서울특별시,성북구,1093,10841,2981,14041,1839,2023,2023
1108061,보문동,서울특별시,성북구,1935,10426,3809,5597,1587,2023,2023
1108062,정릉1동,서울특별시,성북구,2847,10338,4592,2333,1084,2023,2023
1108063,정릉2동,서울특별시,성북구,2836,13028,6685,3403,1332,2023,2023
1108064,정릉3동,서울특별시,성북구,1345,9013,4577,5881,896,2023,2023
1108065,정릉4동,서울특별시,성북구,3161,13748,7118,5112,1474,2023,2023
1108066,길음1동,서울특별시,성북구,7905,20125,6722,4178,1576,2023,2023
1108068,길음2동,서울특별시,성북구,4068,12929,4682,5598,1539,2023,2023
1108071,월곡1동,서울특별시,성북구,4028,14516,7035,5543,1668,2023,2023
1108072,월곡2동,서울특별시,성북구,2134,11495,5280,10384,1938,2023,2023
1108076,장위1동,서울특별시,성북구,3197,13789,6385,3227,1481,2023,2023
1108077,장위2동,서울특별시,성북구,1255,7448,4416,3532,1360,2023,2023
1108078,장위3동,서울특별시,성북구,2783,9344,3400,2000,754,2023,2023
1108081,성북동,서울특별시,성북구,1678,9981,4266,7480,1764,2023,2023
1108082,삼선동,서울특별시,성북구,2474,14047,5677,10727,2472,2023,2023
1108083,동선동,서울특별시,성북구,1238,10766,3002,10928,2601,2023,2023
1108084,종암동,서울특별시,성북구,5501,22123,10059,8511,2698,2023,2023
1108085,석관동,서울특별시,성북구,3633,19439,10718,9303,2576,2023,2023
1109060,번1동,서울특별시,강북구,1341,10779,5254,9154,2252,2023,2023
1109061,번2동,서울특별시,강북구,1331,7875,5669,3306,717,2023,2023
1109062,번3동,서울특별시,강북구,1794,8200,6360,2933,832,2023,2023
1109063,수유1동,서울특별시,강북구,1918,11372,6570,5823,1753,2023,2023
1109064,수유2동,서울특별시,강북구,2065,11202,7255,4118,1659,2023,2023
1109065,수유3동,서울특별시,강북구,1594,14392,7009,8885,2992,2023,2023
1109069,삼양동,서울특별시,강북구,2574,12641,7193,3522,1301,2023,2023
1109070,미아동,서울특별시,강북구,1701,12396,6756,6790,2088,2023,2023
1109071,송중동,서울특별시,강북구,3127,16570,8926,8670,2670,2023,2023
1109072,송천동,서울특별시,강북구,2087,13633,9035,6849,2304,2023,2023
1109073,삼각산동,서울특별시,강북구,6041,17641,6924,3210,1465,2023,2023
1109074,우이동,서울특별시,강북구,2069,10840,6906,5267,1385,2023,2023
1109075,인수동,서울특별시,강북구,3074,15778,10221,6251,1932,2023,2023
1110051,쌍문1동,서울특별시,도봉구,2289,11569,6785,4217,1118,2023,2023
1110052,쌍문2동,서울특별시,도봉구,1922,10071,5917,4733,1370,2023,2023
1110053,쌍문3동,서울특별시,도봉구,1590,9766,5096,4645,1227,2023,2023
1110054,쌍문4동,서울특별시,도봉구,2733,10152,5174,1992,796,2023,2023
1110055,방학1동,서울특별시,도봉구,3236,15430,9089,13212,2545,2023,2023
1110056,방학2동,서울특별시,도봉구,1901,9974,6670,3233,1292,2023,2023
1110057,방학3동,서울특별시,도봉구,4026,13778,8278,2995,1125,2023,2023
1110059,창1동,서울특별시,도봉구,3064,13906,7072,3287,1383,2023,2023
1110060,창2동,서울특별시,도봉구,3397,16574,8212,4298,1667,2023,2023
1110061,창3동,서울특별시,도봉구,1413,7335,4445,2107,1028,2023,2023
1110062,창4동,서울특별시,도봉구,3711,15405,7057,8554,1779,2023,2023
1110063,창5동,서울특별시,도봉구,2882,14012,6987,7116,1847,2023,2023
1110064,도봉1동,서울특별시,도봉구,1629,10215,8202,7132,1767,2023,2023
1110065,도봉2동,서울특별시,도봉구,2821,13636,9527,7747,1681,2023,2023
1111051,월계1동,서울특별시,노원구,2382,12130,6039,6394,1588,2023,2023
1111052,월계2동,서울특별시,노원구,3246,13638,8607,3696,988,2023,2023
1111053,월계3동,서울특별시,노원구,3605,16109,9004,4438,1148,2023,2023
1111056,공릉2동,서울특별시,노원구,7058,25309,9099,12302,2402,2023,2023
1111058,하계1동,서울특별시,노원구,3724,15333,7083,8724,1468,2023,2023
1111059,하계2동,서울특별시,노원구,3682,12345,5283,1545,719,2023,2023
1111060,중계본동,서울특별시,노원구,5337,13457,4272,6001,1547,2023,2023
1111061,중계1동,서울특별시,노원구,6898,15285,4143,4220,1273,2023,2023
1111064,중계4동,서울특별시,노원구,2801,10573,5745,4143,1279,2023,2023
1111065,상계1동,서울특별시,노원구,4727,20735,11382,9184,2603,2023,2023
1111066,상계2동,서울특별시,노원구,2262,11292,5548,10794,3198,2023,2023
1111069,상계5동,서울특별시,노원구,2537,12852,7623,5867,2527,2023,2023
1111072,상계8동,서울특별시,노원구,3642,13791,4410,2054,733,2023,2023
1111073,상계9동,서울특별시,노원구,2761,11547,5357,2626,841,2023,2023
1111074,상계10동,서울특별시,노원구,2697,11122,4366,2382,665,2023,2023
1111076,상계3·4동,서울특별시,노원구,3585,14837,9069,5383,1713,2023,2023
1111077,상계6·7동,서울특별시,노원구,4529,19015,7856,15738,2525,2023,2023
1111078,중계2·3동,서울특별시,노원구,4195,17844,10461,5458,1758,2023,2023
1111079,공릉1동,서울특별시,노원구,3929,21951,10104,13451,3539,2023,2023
1112051,녹번동,서울특별시,은평구,4215,21361,10535,10719,2606,2023,2023
1112052,불광1동,서울특별시,은평구,4221,21613,11605,6853,2257,2023,2023
1112055,갈현1동,서울특별시,은평구,1417,8626,4439,4635,1574,2023,2023
1112056,갈현2동,서울특별시,은평구,3291,16408,7742,6370,2117,2023,2023
1112057,구산동,서울특별시,은평구,3817,18214,9422,6221,1733,2023,2023
1112058,대조동,서울특별시,은평구,2348,17650,7371,7897,3175,2023,2023
1112059,응암1동,서울특별시,은평구,4868,19951,7839,8179,2515,2023,2023
1112060,응암2동,서울특별시,은평구,5323,16139,5882,2969,1257,2023,2023
1112065,신사1동,서울특별시,은평구,2997,15674,7801,5376,1735,2023,2023
1112066,신사2동,서울특별시,은평구,2189,10978,5767,3442,1146,2023,2023
1112067,증산동,서울특별시,은평구,2404,10657,5197,4121,1234,2023,2023
1112068,수색동,서울특별시,은평구,3210,12695,4536,2820,755,2023,2023
1112071,진관동,서울특별시,은평구,10417,31126,12839,13796,3028,2023,2023
1112072,불광2동,서울특별시,은평구,2246,15607,8885,4616,1734,2023,2023
1112073,응암3동,서울특별시,은평구,1975,13444,8025,5664,2203,2023,2023
1112074,역촌동,서울특별시,은평구,4875,26083,12846,8363,3172,2023,2023
1113052,천연동,서울특별시,서대문구,2274,9566,4746,3110,1068,2023,2023
1113062,홍제1동,서울특별시,서대문구,3208,14494,7000,4828,1478,2023,2023
1113064,홍제3동,서울특별시,서대문구,2105,10072,5513,4003,1415,2023,2023
1113065,홍제2동,서울특별시,서대문구,1524,7519,4140,1994,760,2023,2023
1113066,홍은1동,서울특별시,서대문구,2754,12700,6722,2738,1227,2023,2023
1113068,홍은2동,서울특별시,서대문구,3667,16974,7883,6424,1941,2023,2023
1113069,남가좌1동,서울특별시,서대문구,3809,9586,3299,2825,926,2023,2023
1113070,남가좌2동,서울특별시,서대문구,4682,17371,7028,5530,1785,2023,2023
1113071,북가좌1동,서울특별시,서대문구,3067,9973,4528,3269,877,2023,2023
1113072,북가좌2동,서울특별시,서대문구,3322,17908,9444,4951,2042,2023,2023
1113073,충현동,서울특별시,서대문구,2308,12313,5061,23250,2540,2023,2023
1113074,북아현동,서울특별시,서대문구,2248,9743,3450,2760,1017,2023,2023
1113075,신촌동,서울특별시,서대문구,1345,15940,2955,36521,4969,2023,2023
1113076,연희동,서울특별시,서대문구,3333,22326,8331,12974,3139,2023,2023
1114059,용강동,서울특별시,마포구,4036,12837,4373,18811,3282,2023,2023
1114060,대흥동,서울특별시,마포구,1412,10124,2875,9443,1910,2023,2023
1114061,염리동,서울특별시,마포구,2971,10779,3091,5196,1025,2023,2023
1114063,신수동,서울특별시,마포구,3232,13945,4915,6817,2068,2023,2023
1114066,서교동,서울특별시,마포구,1637,17804,4620,65165,12668,2023,2023
1114068,합정동,서울특별시,마포구,1359,11255,3724,14003,3760,2023,2023
1114069,망원1동,서울특별시,마포구,1832,12535,4792,6576,2715,2023,2023
1114070,망원2동,서울특별시,마포구,2215,11184,4523,4873,1851,2023,2023
1114071,연남동,서울특별시,마포구,1136,9860,3231,9158,3042,2023,2023
1114072,성산1동,서울특별시,마포구,1967,12229,4370,13021,2510,2023,2023
1114073,성산2동,서울특별시,마포구,4754,24915,9029,12736,3261,2023,2023
1114074,상암동,서울특별시,마포구,5608,17893,6160,48844,3648,2023,2023
1114075,도화동,서울특별시,마포구,2723,12367,5550,20594,2893,2023,2023
