철도역명,구분,노선_열차종류,행정동코드_500m,행정동명_500m,행정동코드_1000m,행정동명_1000m,행정동코드명_500m,행정동코드명_1000m,대표ID
종합운동장역,지하철,9호선,"[1168058000, 1168061000, 1171065000, 1171067000, 1171072000]","[서울특별시 강남구 대치2동, 서울특별시 강남구 삼성1동, 서울특별시 송파구 잠실2동, 서울특별시 송파구 잠실7동, 서울특별시 송파구 잠실본동]","[1168058000, 1168061000, 1171065000, 1171067000, 1171072000]","[서울특별시 강남구 대치2동, 서울특별시 강남구 삼성1동, 서울특별시 송파구 잠실2동, 서울특별시 송파구 잠실7동, 서울특별시 송파구 잠실본동]","[1168058000:서울특별시 강남구 삼성1동, 1168061000:서울특별시 강남구 대치2동, 1171065000:서울특별시 송파구 잠실본동, 1171067000:서울특별시 송파구 잠실2동, 1171072000:서울특별시 송파구 잠실7동]","[1168058000:서울특별시 강남구 삼성1동, 1168061000:서울특별시 강남구 대치2동, 1171065000:서울특별시 송파구 잠실본동, 1171067000:서울특별시 송파구 잠실2동, 1171072000:서울특별시 송파구 잠실7동]",ST000119
주안국가산단역,지하철,인천2호선,"[2817070000, 2820055100, 2823768000, 2826060000]","[인천광역시 남구 주안5동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정1동, 인천광역시 서구 가좌3동]","[2817064500, 2817066000, 2817070000, 2820055100, 2823768000, 2826058000, 2826060000, 2826061000]","[인천광역시 남구 도화2·3동, 인천광역시 남구 주안1동, 인천광역시 남구 주안5동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정1동, 인천광역시 서구 가좌1동, 인천광역시 서구 가좌3동, 인천광역시 서구 가좌4동]","[2817070000:인천광역시 남구 주안5동, 2820055100:인천광역시 남동구 간석4동, 2823768000:인천광역시 부평구 십정1동, 2826060000:인천광역시 서구 가좌3동]","[2817064500:인천광역시 남구 도화2·3동, 2817066000:인천광역시 남구 주안1동, 2817070000:인천광역시 남구 주안5동, 2820055100:인천광역시 남동구 간석4동, 2823768000:인천광역시 부평구 십정1동, 2826058000:인천광역시 서구 가좌1동, 2826060000:인천광역시 서구 가좌3동, 2826061000:인천광역시 서구 가좌4동]",ST000083
주안역,지하철,1호선,"[2817063000, 2817066000, 2817070000, 2817071000]","[인천광역시 남구 도화1동, 인천광역시 남구 주안1동, 인천광역시 남구 주안5동, 인천광역시 남구 주안6동]","[2817063000, 2817064500, 2817066000, 2817067000, 2817069000, 2817070000, 2817071000, 2820055100, 2823768000, 2826060000]","[인천광역시 남구 도화1동, 인천광역시 남구 도화2·3동, 인천광역시 남구 주안1동, 인천광역시 남구 주안2동, 인천광역시 남구 주안4동, 인천광역시 남구 주안5동, 인천광역시 남구 주안6동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정1동, 인천광역시 서구 가좌3동]","[2817063000:인천광역시 남구 도화1동, 2817066000:인천광역시 남구 주안1동, 2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동]","[2817063000:인천광역시 남구 도화1동, 2817064500:인천광역시 남구 도화2·3동, 2817066000:인천광역시 남구 주안1동, 2817067000:인천광역시 남구 주안2동, 2817069000:인천광역시 남구 주안4동, 2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동, 2820055100:인천광역시 남동구 간석4동, 2823768000:인천광역시 부평구 십정1동, 2826060000:인천광역시 서구 가좌3동]",ST000084
주안역,지하철,인천2호선,"[2817063000, 2817066000, 2817070000, 2817071000]","[인천광역시 남구 도화1동, 인천광역시 남구 주안1동, 인천광역시 남구 주안5동, 인천광역시 남구 주안6동]","[2817063000, 2817064500, 2817066000, 2817067000, 2817069000, 2817070000, 2817071000, 2820055100, 2823768000, 2826060000]","[인천광역시 남구 도화1동, 인천광역시 남구 도화2·3동, 인천광역시 남구 주안1동, 인천광역시 남구 주안2동, 인천광역시 남구 주안4동, 인천광역시 남구 주안5동, 인천광역시 남구 주안6동, 인천광역시 남동구 간석4동, 인천광역시 부평구 십정1동, 인천광역시 서구 가좌3동]","[2817063000:인천광역시 남구 도화1동, 2817066000:인천광역시 남구 주안1동, 2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동]","[2817063000:인천광역시 남구 도화1동, 2817064500:인천광역시 남구 도화2·3동, 2817066000:인천광역시 남구 주안1동, 2817067000:인천광역시 남구 주안2동, 2817069000:인천광역시 남구 주안4동, 2817070000:인천광역시 남구 주안5동, 2817071000:인천광역시 남구 주안6동, 2820055100:인천광역시 남동구 간석4동, 2823768000:인천광역시 부평구 십정1동, 2826060000:인천광역시 서구 가좌3동]",ST000084
주엽역,지하철,3호선,"[4128755000, 4128756000]","[경기도 고양시일산서구 주엽1동, 경기도 고양시일산서구 주엽2동]","[4128553000, 4128558000, 4128559000, 4128753000, 4128755000, 4128756000, 4128757000, 4128758000]","[경기도 고양시일산동구 장항1동, 경기도 고양시일산동구 장항2동, 경기도 고양시일산동구 정발산동, 경기도 고양시일산서구 대화동, 경기도 고양시일산서구 송포동, 경기도 고양시일산서구 일산3동, 경기도 고양시일산서구 주엽1동, 경기도 고양시일산서구 주엽2동]","[4128755000:경기도 고양시일산서구 주엽1동, 4128756000:경기도 고양시일산서구 주엽2동]","[4128553000:경기도 고양시일산동구 정발산동, 4128558000:경기도 고양시일산동구 장항1동, 4128559000:경기도 고양시일산동구 장항2동, 4128753000:경기도 고양시일산서구 일산3동, 4128755000:경기도 고양시일산서구 주엽1동, 4128756000:경기도 고양시일산서구 주엽2동, 4128757000:경기도 고양시일산서구 대화동, 4128758000:경기도 고양시일산서구 송포동]",ST000447
주엽역,지하철,일산선,"[4128755000, 4128756000]","[경기도 고양시일산서구 주엽1동, 경기도 고양시일산서구 주엽2동]","[4128553000, 4128558000, 4128559000, 4128753000, 4128755000, 4128756000, 4128757000, 4128758000]","[경기도 고양시일산동구 장항1동, 경기도 고양시일산동구 장항2동, 경기도 고양시일산동구 정발산동, 경기도 고양시일산서구 대화동, 경기도 고양시일산서구 송포동, 경기도 고양시일산서구 일산3동, 경기도 고양시일산서구 주엽1동, 경기도 고양시일산서구 주엽2동]","[4128755000:경기도 고양시일산서구 주엽1동, 4128756000:경기도 고양시일산서구 주엽2동]","[4128553000:경기도 고양시일산동구 정발산동, 4128558000:경기도 고양시일산동구 장항1동, 4128559000:경기도 고양시일산동구 장항2동, 4128753000:경기도 고양시일산서구 일산3동, 4128755000:경기도 고양시일산서구 주엽1동, 4128756000:경기도 고양시일산서구 주엽2동, 4128757000:경기도 고양시일산서구 대화동, 4128758000:경기도 고양시일산서구 송포동]",ST000447
죽전역,지하철,수인분당선,"[4146359000, 4146551000, 4146554000, 4146555000]","[경기도 용인시기흥구 보정동, 경기도 용인시수지구 죽전1동, 경기도 용인시수지구 죽전2동, 경기도 용인시수지구 풍덕천1동]","[4146359000, 4146551000, 4146552000, 4146554000, 4146555000]","[경기도 용인시기흥구 보정동, 경기도 용인시수지구 죽전1동, 경기도 용인시수지구 죽전2동, 경기도 용인시수지구 풍덕천1동, 경기도 용인시수지구 풍덕천2동]","[4146359000:경기도 용인시기흥구 보정동, 4146551000:경기도 용인시수지구 풍덕천1동, 4146554000:경기도 용인시수지구 죽전1동, 4146555000:경기도 용인시수지구 죽전2동]","[4146359000:경기도 용인시기흥구 보정동, 4146551000:경기도 용인시수지구 풍덕천1동, 4146552000:경기도 용인시수지구 풍덕천2동, 4146554000:경기도 용인시수지구 죽전1동, 4146555000:경기도 용인시수지구 죽전2동]",ST000497
중계역,지하철,7호선,"[1135062500, 1135069500]","[서울특별시 노원구 상계6·7동, 서울특별시 노원구 중계2·3동]","[1132051400, 1135057000, 1135061100, 1135061200, 1135062100, 1135062500, 1135064000, 1135069500]","[서울특별시 노원구 상계2동, 서울특별시 노원구 상계6·7동, 서울특별시 노원구 월계2동, 서울특별시 노원구 중계1동, 서울특별시 노원구 중계2·3동, 서울특별시 노원구 하계1동, 서울특별시 노원구 하계2동, 서울특별시 도봉구 창4동]","[1135062500:서울특별시 노원구 중계2·3동, 1135069500:서울특별시 노원구 상계6·7동]","[1132051400:서울특별시 도봉구 창4동, 1135057000:서울특별시 노원구 월계2동, 1135061100:서울특별시 노원구 하계1동, 1135061200:서울특별시 노원구 하계2동, 1135062100:서울특별시 노원구 중계1동, 1135062500:서울특별시 노원구 중계2·3동, 1135064000:서울특별시 노원구 상계2동, 1135069500:서울특별시 노원구 상계6·7동]",ST000279
중곡역,지하철,7호선,"[1121574000, 1121575000, 1121576000, 1121577000]","[서울특별시 광진구 중곡1동, 서울특별시 광진구 중곡2동, 서울특별시 광진구 중곡3동, 서울특별시 광진구 중곡4동]","[1121574000, 1121575000, 1121576000, 1121577000, 1121578000, 1123065000, 1123066000, 1126054000]","[서울특별시 광진구 능동, 서울특별시 광진구 중곡1동, 서울특별시 광진구 중곡2동, 서울특별시 광진구 중곡3동, 서울특별시 광진구 중곡4동, 서울특별시 동대문구 장안1동, 서울특별시 동대문구 장안2동, 서울특별시 중랑구 면목4동]","[1121574000:서울특별시 광진구 중곡1동, 1121575000:서울특별시 광진구 중곡2동, 1121576000:서울특별시 광진구 중곡3동, 1121577000:서울특별시 광진구 중곡4동]","[1121574000:서울특별시 광진구 중곡1동, 1121575000:서울특별시 광진구 중곡2동, 1121576000:서울특별시 광진구 중곡3동, 1121577000:서울특별시 광진구 중곡4동, 1121578000:서울특별시 광진구 능동, 1123065000:서울특별시 동대문구 장안1동, 1123066000:서울특별시 동대문구 장안2동, 1126054000:서울특별시 중랑구 면목4동]",ST000288
중동역,지하철,1호선,"[4119061000, 4119062000, 4119073000, 4119074000]","[경기도 부천시 상동, 경기도 부천시 송내1동, 경기도 부천시 송내2동, 경기도 부천시 중동]","[2823767000, 4119053000, 4119061000, 4119062000, 4119063000, 4119067000, 4119072000, 4119073000, 4119074000]","[경기도 부천시 상1동, 경기도 부천시 상동, 경기도 부천시 송내1동, 경기도 부천시 송내2동, 경기도 부천시 심곡3동, 경기도 부천시 심곡본1동, 경기도 부천시 중2동, 경기도 부천시 중동, 인천광역시 부평구 일신동]","[4119061000:경기도 부천시 중동, 4119062000:경기도 부천시 상동, 4119073000:경기도 부천시 송내1동, 4119074000:경기도 부천시 송내2동]","[2823767000:인천광역시 부평구 일신동, 4119053000:경기도 부천시 심곡3동, 4119061000:경기도 부천시 중동, 4119062000:경기도 부천시 상동, 4119063000:경기도 부천시 상1동, 4119067000:경기도 부천시 중2동, 4119072000:경기도 부천시 심곡본1동, 4119073000:경기도 부천시 송내1동, 4119074000:경기도 부천시 송내2동]",ST000510
중랑역,지하철,경의중앙선,"[1126052000, 1126058000, 1126059000, 1126060000, 1126061000]","[서울특별시 중랑구 면목2동, 서울특별시 중랑구 상봉1동, 서울특별시 중랑구 상봉2동, 서울특별시 중랑구 중화1동, 서울특별시 중랑구 중화2동]","[1123072000, 1123073000, 1123074000, 1123075000, 1126052000, 1126055000, 1126056500, 1126058000, 1126059000, 1126060000, 1126061000]","[서울특별시 동대문구 이문1동, 서울특별시 동대문구 이문2동, 서울특별시 동대문구 휘경1동, 서울특별시 동대문구 휘경2동, 서울특별시 중랑구 면목2동, 서울특별시 중랑구 면목5동, 서울특별시 중랑구 면목본동, 서울특별시 중랑구 상봉1동, 서울특별시 중랑구 상봉2동, 서울특별시 중랑구 중화1동, 서울특별시 중랑구 중화2동]","[1126052000:서울특별시 중랑구 면목2동, 1126058000:서울특별시 중랑구 상봉1동, 1126059000:서울특별시 중랑구 상봉2동, 1126060000:서울특별시 중랑구 중화1동, 1126061000:서울특별시 중랑구 중화2동]","[1123072000:서울특별시 동대문구 휘경1동, 1123073000:서울특별시 동대문구 휘경2동, 1123074000:서울특별시 동대문구 이문1동, 1123075000:서울특별시 동대문구 이문2동, 1126052000:서울특별시 중랑구 면목2동, 1126055000:서울특별시 중랑구 면목5동, 1126056500:서울특별시 중랑구 면목본동, 1126058000:서울특별시 중랑구 상봉1동, 1126059000:서울특별시 중랑구 상봉2동, 1126060000:서울특별시 중랑구 중화1동, 1126061000:서울특별시 중랑구 중화2동]",ST000645
