철도역명,구분,노선_열차종류,행정동코드_500m,행정동명_500m,행정동코드_1000m,행정동명_1000m,행정동코드명_500m,행정동코드명_1000m,대표ID
정자역,지하철,수인분당선,"[4113554500, 4113555000, 4113566200]","[경기도 성남시분당구 금곡동, 경기도 성남시분당구 정자1동, 경기도 성남시분당구 정자동]","[4113552000, 4113553000, 4113554500, 4113555000, 4113556000, 4113557000, 4113565000, 4113566200]","[경기도 성남시분당구 금곡동, 경기도 성남시분당구 수내1동, 경기도 성남시분당구 수내2동, 경기도 성남시분당구 정자1동, 경기도 성남시분당구 정자2동, 경기도 성남시분당구 정자3동, 경기도 성남시분당구 정자동, 경기도 성남시분당구 판교동]","[4113554500:경기도 성남시분당구 정자동, 4113555000:경기도 성남시분당구 정자1동, 4113566200:경기도 성남시분당구 금곡동]","[4113552000:경기도 성남시분당구 수내1동, 4113553000:경기도 성남시분당구 수내2동, 4113554500:경기도 성남시분당구 정자동, 4113555000:경기도 성남시분당구 정자1동, 4113556000:경기도 성남시분당구 정자2동, 4113557000:경기도 성남시분당구 정자3동, 4113565000:경기도 성남시분당구 판교동, 4113566200:경기도 성남시분당구 금곡동]",ST000337
정자역,지하철,신분당선,"[4113554500, 4113555000, 4113566200]","[경기도 성남시분당구 금곡동, 경기도 성남시분당구 정자1동, 경기도 성남시분당구 정자동]","[4113552000, 4113553000, 4113554500, 4113555000, 4113556000, 4113557000, 4113565000, 4113566200]","[경기도 성남시분당구 금곡동, 경기도 성남시분당구 수내1동, 경기도 성남시분당구 수내2동, 경기도 성남시분당구 정자1동, 경기도 성남시분당구 정자2동, 경기도 성남시분당구 정자3동, 경기도 성남시분당구 정자동, 경기도 성남시분당구 판교동]","[4113554500:경기도 성남시분당구 정자동, 4113555000:경기도 성남시분당구 정자1동, 4113566200:경기도 성남시분당구 금곡동]","[4113552000:경기도 성남시분당구 수내1동, 4113553000:경기도 성남시분당구 수내2동, 4113554500:경기도 성남시분당구 정자동, 4113555000:경기도 성남시분당구 정자1동, 4113556000:경기도 성남시분당구 정자2동, 4113557000:경기도 성남시분당구 정자3동, 4113565000:경기도 성남시분당구 판교동, 4113566200:경기도 성남시분당구 금곡동]",ST000337
제기동역,지하철,1호선,"[1123053600, 1123054500]","[서울특별시 동대문구 용신동, 서울특별시 동대문구 제기동]","[1120053500, 1120054000, 1120079000, 1123053600, 1123054500, 1123056000, 1123060000, 1123070500, 1129060000, 1129061000]","[서울특별시 동대문구 답십리1동, 서울특별시 동대문구 용신동, 서울특별시 동대문구 전농1동, 서울특별시 동대문구 제기동, 서울특별시 동대문구 청량리동, 서울특별시 성동구 마장동, 서울특별시 성동구 왕십리도선동, 서울특별시 성동구 용답동, 서울특별시 성북구 보문동, 서울특별시 성북구 안암동]","[1123053600:서울특별시 동대문구 용신동, 1123054500:서울특별시 동대문구 제기동]","[1120053500:서울특별시 성동구 왕십리도선동, 1120054000:서울특별시 성동구 마장동, 1120079000:서울특별시 성동구 용답동, 1123053600:서울특별시 동대문구 용신동, 1123054500:서울특별시 동대문구 제기동, 1123056000:서울특별시 동대문구 전농1동, 1123060000:서울특별시 동대문구 답십리1동, 1123070500:서울특별시 동대문구 청량리동, 1129060000:서울특별시 성북구 안암동, 1129061000:서울특별시 성북구 보문동]",ST000101
제물포역,지하철,1호선,"[2817053500, 2817054000, 2817063000, 2817064500]","[인천광역시 남구 도화1동, 인천광역시 남구 도화2·3동, 인천광역시 남구 숭의1·3동, 인천광역시 남구 숭의4동]","[2814060500, 2817052000, 2817053500, 2817054000, 2817055500, 2817057000, 2817063000, 2817064500, 2817067000]","[인천광역시 남구 도화1동, 인천광역시 남구 도화2·3동, 인천광역시 남구 숭의1·3동, 인천광역시 남구 숭의2동, 인천광역시 남구 숭의4동, 인천광역시 남구 용현1·4동, 인천광역시 남구 용현3동, 인천광역시 남구 주안2동, 인천광역시 동구 송림3·5동]","[2817053500:인천광역시 남구 숭의1·3동, 2817054000:인천광역시 남구 숭의4동, 2817063000:인천광역시 남구 도화1동, 2817064500:인천광역시 남구 도화2·3동]","[2814060500:인천광역시 동구 송림3·5동, 2817052000:인천광역시 남구 숭의2동, 2817053500:인천광역시 남구 숭의1·3동, 2817054000:인천광역시 남구 숭의4동, 2817055500:인천광역시 남구 용현1·4동, 2817057000:인천광역시 남구 용현3동, 2817063000:인천광역시 남구 도화1동, 2817064500:인천광역시 남구 도화2·3동, 2817067000:인천광역시 남구 주안2동]",ST000516
종각역,지하철,1호선,"[1111061500, 1114052000, 1114055000]","[서울특별시 종로구 종로1·2·3·4가동, 서울특별시 중구 명동, 서울특별시 중구 소공동]","[1111051500, 1111053000, 1111054000, 1111060000, 1111061500, 1114052000, 1114054000, 1114055000, 1114060500]","[서울특별시 종로구 가회동, 서울특별시 종로구 사직동, 서울특별시 종로구 삼청동, 서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 청운효자동, 서울특별시 중구 명동, 서울특별시 중구 소공동, 서울특별시 중구 을지로동, 서울특별시 중구 회현동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1114052000:서울특별시 중구 소공동, 1114055000:서울특별시 중구 명동]","[1111051500:서울특별시 종로구 청운효자동, 1111053000:서울특별시 종로구 사직동, 1111054000:서울특별시 종로구 삼청동, 1111060000:서울특별시 종로구 가회동, 1111061500:서울특별시 종로구 종로1·2·3·4가동, 1114052000:서울특별시 중구 소공동, 1114054000:서울특별시 중구 회현동, 1114055000:서울특별시 중구 명동, 1114060500:서울특별시 중구 을지로동]",ST000096
종로3가역,지하철,1호선,"[1111061500, 1114055000, 1114060500]","[서울특별시 종로구 종로1·2·3·4가동, 서울특별시 중구 명동, 서울특별시 중구 을지로동]","[1111054000, 1111060000, 1111061500, 1111063000, 1111064000, 1114052000, 1114055000, 1114057000, 1114059000, 1114060500]","[서울특별시 종로구 가회동, 서울특별시 종로구 삼청동, 서울특별시 종로구 이화동, 서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 종로5·6가동, 서울특별시 중구 광희동, 서울특별시 중구 명동, 서울특별시 중구 소공동, 서울특별시 중구 을지로동, 서울특별시 중구 필동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1114055000:서울특별시 중구 명동, 1114060500:서울특별시 중구 을지로동]","[1111054000:서울특별시 종로구 삼청동, 1111060000:서울특별시 종로구 가회동, 1111061500:서울특별시 종로구 종로1·2·3·4가동, 1111063000:서울특별시 종로구 종로5·6가동, 1111064000:서울특별시 종로구 이화동, 1114052000:서울특별시 중구 소공동, 1114055000:서울특별시 중구 명동, 1114057000:서울특별시 중구 필동, 1114059000:서울특별시 중구 광희동, 1114060500:서울특별시 중구 을지로동]",ST000097
종로3가역,지하철,3호선,"[1111061500, 1114055000, 1114060500]","[서울특별시 종로구 종로1·2·3·4가동, 서울특별시 중구 명동, 서울특별시 중구 을지로동]","[1111054000, 1111060000, 1111061500, 1111063000, 1111064000, 1114052000, 1114055000, 1114057000, 1114059000, 1114060500]","[서울특별시 종로구 가회동, 서울특별시 종로구 삼청동, 서울특별시 종로구 이화동, 서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 종로5·6가동, 서울특별시 중구 광희동, 서울특별시 중구 명동, 서울특별시 중구 소공동, 서울특별시 중구 을지로동, 서울특별시 중구 필동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1114055000:서울특별시 중구 명동, 1114060500:서울특별시 중구 을지로동]","[1111054000:서울특별시 종로구 삼청동, 1111060000:서울특별시 종로구 가회동, 1111061500:서울특별시 종로구 종로1·2·3·4가동, 1111063000:서울특별시 종로구 종로5·6가동, 1111064000:서울특별시 종로구 이화동, 1114052000:서울특별시 중구 소공동, 1114055000:서울특별시 중구 명동, 1114057000:서울특별시 중구 필동, 1114059000:서울특별시 중구 광희동, 1114060500:서울특별시 중구 을지로동]",ST000097
종로3가역,지하철,5호선,"[1111061500, 1114055000, 1114060500]","[서울특별시 종로구 종로1·2·3·4가동, 서울특별시 중구 명동, 서울특별시 중구 을지로동]","[1111054000, 1111060000, 1111061500, 1111063000, 1111064000, 1114052000, 1114055000, 1114057000, 1114059000, 1114060500]","[서울특별시 종로구 가회동, 서울특별시 종로구 삼청동, 서울특별시 종로구 이화동, 서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 종로5·6가동, 서울특별시 중구 광희동, 서울특별시 중구 명동, 서울특별시 중구 소공동, 서울특별시 중구 을지로동, 서울특별시 중구 필동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1114055000:서울특별시 중구 명동, 1114060500:서울특별시 중구 을지로동]","[1111054000:서울특별시 종로구 삼청동, 1111060000:서울특별시 종로구 가회동, 1111061500:서울특별시 종로구 종로1·2·3·4가동, 1111063000:서울특별시 종로구 종로5·6가동, 1111064000:서울특별시 종로구 이화동, 1114052000:서울특별시 중구 소공동, 1114055000:서울특별시 중구 명동, 1114057000:서울특별시 중구 필동, 1114059000:서울특별시 중구 광희동, 1114060500:서울특별시 중구 을지로동]",ST000097
종로5가역,지하철,1호선,"[1111061500, 1111063000, 1114059000, 1114060500]","[서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 종로5·6가동, 서울특별시 중구 광희동, 서울특별시 중구 을지로동]","[1111061500, 1111063000, 1111064000, 1111067000, 1111068000, 1114057000, 1114058000, 1114059000, 1114060500, 1114061500]","[서울특별시 종로구 이화동, 서울특별시 종로구 종로1·2·3·4가동, 서울특별시 종로구 종로5·6가동, 서울특별시 종로구 창신1동, 서울특별시 종로구 창신2동, 서울특별시 중구 광희동, 서울특별시 중구 신당동, 서울특별시 중구 을지로동, 서울특별시 중구 장충동, 서울특별시 중구 필동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1111063000:서울특별시 종로구 종로5·6가동, 1114059000:서울특별시 중구 광희동, 1114060500:서울특별시 중구 을지로동]","[1111061500:서울특별시 종로구 종로1·2·3·4가동, 1111063000:서울특별시 종로구 종로5·6가동, 1111064000:서울특별시 종로구 이화동, 1111067000:서울특별시 종로구 창신1동, 1111068000:서울특별시 종로구 창신2동, 1114057000:서울특별시 중구 필동, 1114058000:서울특별시 중구 장충동, 1114059000:서울특별시 중구 광희동, 1114060500:서울특별시 중구 을지로동, 1114061500:서울특별시 중구 신당동]",ST000098
종합운동장역,지하철,2호선,"[1168058000, 1168061000, 1171065000, 1171067000, 1171072000]","[서울특별시 강남구 대치2동, 서울특별시 강남구 삼성1동, 서울특별시 송파구 잠실2동, 서울특별시 송파구 잠실7동, 서울특별시 송파구 잠실본동]","[1168058000, 1168061000, 1171065000, 1171067000, 1171072000]","[서울특별시 강남구 대치2동, 서울특별시 강남구 삼성1동, 서울특별시 송파구 잠실2동, 서울특별시 송파구 잠실7동, 서울특별시 송파구 잠실본동]","[1168058000:서울특별시 강남구 삼성1동, 1168061000:서울특별시 강남구 대치2동, 1171065000:서울특별시 송파구 잠실본동, 1171067000:서울특별시 송파구 잠실2동, 1171072000:서울특별시 송파구 잠실7동]","[1168058000:서울특별시 강남구 삼성1동, 1168061000:서울특별시 강남구 대치2동, 1171065000:서울특별시 송파구 잠실본동, 1171067000:서울특별시 송파구 잠실2동, 1171072000:서울특별시 송파구 잠실7동]",ST000119
