시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
서울,중랑구,신내2동,11070700,8090,8450,95.74
서울,중랑구,면목본동,11070710,809,8827,9.17
서울,중랑구,면목3·8동,11070720,1940,6339,30.6
서울,중랑구,망우본동,11070730,3200,7759,41.24
서울,성북구,돈암1동,11080580,5153,5605,91.94
서울,성북구,돈암2동,11080590,7567,7993,94.67
서울,성북구,안암동,11080600,1209,4360,27.73
서울,성북구,보문동,11080610,2471,4800,51.48
서울,성북구,정릉1동,11080620,4450,5766,77.18
서울,성북구,정릉2동,11080630,3030,7712,39.29
서울,성북구,정릉3동,11080640,757,5261,14.39
서울,성북구,정릉4동,11080650,5162,8929,57.81
서울,성북구,길음1동,11080660,11201,11652,96.13
서울,성북구,길음2동,11080680,4680,5446,85.93
서울,성북구,월곡1동,11080710,6001,8081,74.26
서울,성북구,월곡2동,11080720,3365,5782,58.2
서울,성북구,장위1동,11080760,90,5694,1.58
서울,성북구,장위2동,11080770,198,3384,5.85
서울,성북구,장위3동,11080780,3495,4965,70.39
서울,성북구,성북동,11080810,574,5446,10.54
서울,성북구,삼선동,11080820,2887,7314,39.47
서울,성북구,동선동,11080830,1085,5120,21.19
서울,성북구,종암동,11080840,8031,12303,65.28
서울,성북구,석관동,11080850,4721,10314,45.77
서울,강북구,번1동,11090600,880,5025,17.51
서울,강북구,번2동,11090610,2574,6462,39.83
서울,강북구,번3동,11090620,6663,7044,94.59
서울,강북구,수유1동,11090630,543,6779,8.01
서울,강북구,수유2동,11090640,2576,7010,36.75
서울,강북구,수유3동,11090650,235,6169,3.81
서울,강북구,삼양동,11090690,2521,7606,33.14
서울,강북구,미아동,11090700,1100,6699,16.42
서울,강북구,송중동,11090710,2814,8424,33.4
서울,강북구,송천동,11090720,1255,7230,17.36
서울,강북구,삼각산동,11090730,10907,11004,99.12
서울,강북구,우이동,11090740,856,6682,12.81
서울,강북구,인수동,11090750,670,10002,6.7
서울,도봉구,쌍문1동,11100510,1912,7007,27.29
서울,도봉구,쌍문2동,11100520,2857,6347,45.01
서울,도봉구,쌍문3동,11100530,1928,5143,37.49
서울,도봉구,쌍문4동,11100540,5927,6630,89.4
서울,도봉구,방학1동,11100550,4469,8619,51.85
서울,도봉구,방학2동,11100560,237,5830,4.07
서울,도봉구,방학3동,11100570,9041,9491,95.26
서울,도봉구,창1동,11100590,7085,9050,78.29
서울,도봉구,창2동,11100600,2897,9615,30.13
서울,도봉구,창3동,11100610,1119,3889,28.77
서울,도봉구,창4동,11100620,9606,9887,97.16
서울,도봉구,창5동,11100630,6790,8924,76.09
서울,도봉구,도봉1동,11100640,1107,6806,16.27
서울,도봉구,도봉2동,11100650,8287,9997,82.89
서울,노원구,월계1동,11110510,4500,7885,57.07
서울,노원구,월계2동,11110520,9636,10219,94.29
서울,노원구,월계3동,11110530,12086,12154,99.44
서울,노원구,공릉2동,11110560,10897,13014,83.73
서울,노원구,하계1동,11110580,8902,10103,88.11
서울,노원구,하계2동,11110590,7913,7913,100.0
서울,노원구,중계본동,11110600,6000,7844,76.49
서울,노원구,중계1동,11110610,8491,8683,97.79
서울,노원구,중계4동,11110640,7160,7617,94.0
서울,노원구,상계1동,11110650,10589,13471,78.61
서울,노원구,상계2동,11110660,3883,6221,62.42
서울,노원구,상계5동,11110690,3985,7108,56.06
서울,노원구,상계8동,11110720,8756,8768,99.86
서울,노원구,상계9동,11110730,7984,7984,100.0
서울,노원구,상계10동,11110740,6146,6220,98.81
