시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
서울,종로구,사직동,11010530,1537,2565,59.92
서울,종로구,삼청동,11010540,0,652,0
서울,종로구,부암동,11010550,121,2979,4.06
서울,종로구,평창동,11010560,970,5500,17.64
서울,종로구,무악동,11010570,2655,2790,95.16
서울,종로구,교남동,11010580,2390,3658,65.34
서울,종로구,가회동,11010600,0,1313,0
서울,종로구,종로1·2·3·4가동,11010610,933,1533,60.86
서울,종로구,종로5·6가동,11010630,473,1463,32.33
서울,종로구,이화동,11010640,188,2539,7.4
서울,종로구,창신1동,11010670,788,1517,51.94
서울,종로구,창신2동,11010680,327,2403,13.61
서울,종로구,창신3동,11010690,1723,2150,80.14
서울,종로구,숭인1동,11010700,654,1611,40.6
서울,종로구,숭인2동,11010710,1830,3469,52.75
서울,종로구,청운효자동,11010720,224,3776,5.93
서울,종로구,혜화동,11010730,889,5110,17.4
서울,중구,소공동,11020520,714,740,96.49
서울,중구,회현동,11020540,1021,1509,67.66
서울,중구,명동,11020550,243,528,46.02
서울,중구,필동,11020570,670,1449,46.24
서울,중구,장충동,11020580,196,2448,8.01
서울,중구,광희동,11020590,1783,2358,75.61
서울,중구,을지로동,11020600,1136,1258,90.3
서울,중구,신당5동,11020650,2275,3379,67.33
서울,중구,황학동,11020670,2725,3761,72.45
서울,중구,중림동,11020680,3367,4140,81.33
서울,중구,신당동,11020690,785,2287,34.32
서울,중구,다산동,11020700,507,4526,11.2
서울,중구,약수동,11020710,5333,6529,81.68
서울,중구,청구동,11020720,3727,4757,78.35
서울,중구,동화동,11020730,2593,3137,82.66
서울,용산구,후암동,11030510,587,5292,11.09
서울,용산구,용산2가동,11030520,308,2971,10.37
서울,용산구,남영동,11030530,423,1678,25.21
서울,용산구,원효로2동,11030570,3154,4854,64.98
서울,용산구,효창동,11030580,1926,3877,49.68
서울,용산구,용문동,11030590,2236,4268,52.39
서울,용산구,이촌1동,11030630,8511,8532,99.75
서울,용산구,이촌2동,11030640,2676,3170,84.42
서울,용산구,이태원1동,11030650,642,1991,32.25
서울,용산구,이태원2동,11030660,666,2850,23.37
서울,용산구,서빙고동,11030690,2467,3993,61.78
서울,용산구,보광동,11030700,469,2118,22.14
서울,용산구,청파동,11030710,74,6218,1.19
서울,용산구,원효로1동,11030720,4058,6144,66.05
서울,용산구,한강로동,11030730,5791,7101,81.55
서울,용산구,한남동,11030740,2991,5504,54.34
