철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
양평역,일반철도,ITX-마음,[31580110],"[31580110, 31580310]",ST000631
양평역,일반철도,ITX-새마을,[31580110],"[31580110, 31580310]",ST000631
양평역,일반철도,무궁화,[31580110],"[31580110, 31580310]",ST000631
양평역,준고속철도,KTX-이음,[31580110],"[31580110, 31580310]",ST000631
양평역,지하철,5호선,"[11150510, 11190610, 11190760]","[11150510, 11150650, 11150710, 11190550, 11190560, 11190610, 11190620, 11190760]",ST000209
양평역,지하철,경의중앙선,[31580110],"[31580110, 31580310]",ST000631
어룡역,지하철,의정부,"[31030591, 31030700, 31030710]","[31030570, 31030580, 31030591, 31030600, 31030700, 31030710]",ST000373
어린이대공원역,지하철,7호선,"[11050530, 11050540, 11050590]","[11040680, 11040690, 11040700, 11050530, 11050540, 11050590, 11050600, 11050610, 11050640, 11050660, 11050670]",ST000289
어정역,지하철,에버라인,"[31192600, 31192680, 31192690]","[31192520, 31192560, 31192600, 31192670, 31192680, 31192690]",ST000397
어천역,지하철,수인분당선,[31240310],"[31240310, 31240330]",ST000486
언주역,지하철,9호선,"[11230520, 11230530, 11230640]","[11220540, 11220570, 11230520, 11230530, 11230590, 11230640, 11230650]",ST000039
여의나루역,지하철,5호선,[11190540],[11190540],ST000212
여의도역,지하철,5호선,[11190540],"[11190540, 11190630, 11190690, 11190730, 11190740, 11200520, 11200680]",ST000028
여의도역,지하철,9호선,[11190540],"[11190540, 11190630, 11190690, 11190730, 11190740, 11200520, 11200680]",ST000028
여주역,지하철,경강선,"[31280510, 31280520]","[31280510, 31280520]",ST000565
역곡역,지하철,1호선,"[31051571, 31051581, 31052591, 31052601]","[11170690, 11170740, 31051551, 31051571, 31051581, 31052551, 31052591, 31052601]",ST000521
역삼역,지하철,2호선,"[11230640, 11230650]","[11220520, 11220540, 11230520, 11230530, 11230640, 11230650, 11230660]",ST000122
역촌역,지하철,6호선,"[11120510, 11120580, 11120590, 11120740]","[11120510, 11120520, 11120560, 11120570, 11120580, 11120590, 11120600, 11120650, 11120740]",ST000246
연수역,지하철,수인분당선,"[23040530, 23040540, 23040550, 23040560, 23040570]","[23040530, 23040540, 23040550, 23040560, 23040570, 23040590]",ST000477
연신내역,광역급행철도,GTXA,"[11120520, 11120550, 11120560, 11120580, 11120720]","[11120520, 11120550, 11120560, 11120570, 11120580, 11120720, 11120740]",GTX_연신내_GTXA
연신내역,지하철,3호선,"[11120520, 11120550, 11120560, 11120580, 11120720]","[11120520, 11120550, 11120560, 11120570, 11120580, 11120720, 11120740]",ST000153
연신내역,지하철,6호선,"[11120520, 11120550, 11120560, 11120580, 11120720]","[11120520, 11120550, 11120560, 11120570, 11120580, 11120720, 11120740]",ST000153
연천역,지하철,1호선,[31550110],[31550110],ST000455
염창역,지하철,9호선,"[11150520, 11150530, 11160510]","[11150520, 11150530, 11150540, 11150710, 11160510, 11160520, 11190620]",ST000023
영등포구청역,지하철,2호선,"[11190550, 11190560, 11190610, 11190620]","[11150510, 11150710, 11190550, 11190560, 11190610, 11190620, 11190740, 11190760]",ST000137
영등포구청역,지하철,5호선,"[11190550, 11190560, 11190610, 11190620]","[11150510, 11150710, 11190550, 11190560, 11190610, 11190620, 11190740, 11190760]",ST000137
영등포시장역,지하철,5호선,"[11190550, 11190560, 11190740]","[11190540, 11190550, 11190560, 11190730, 11190740, 11190760]",ST000210
