철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
작전역,지하철,인천1호선,"[23070510, 23070520, 23070560, 23070570]","[23060620, 23060630, 23070510, 23070520, 23070530, 23070550, 23070560, 23070570, 23070580]",ST000049
잠실나루역,지하철,2호선,"[11240520, 11240750, 11240770]","[11240520, 11240580, 11240590, 11240750, 11240770, 11240800]",ST000116
잠실새내역,지하철,2호선,"[11240520, 11240750, 11240770]","[11240520, 11240580, 11240590, 11240750, 11240770, 11240800]",ST000118
잠실역,지하철,2호선,"[11240770, 11240800]","[11240580, 11240610, 11240630, 11240640, 11240750, 11240770, 11240790, 11240800]",ST000117
잠실역,지하철,8호선,"[11240580, 11240610, 11240750, 11240770, 11240800]","[11240580, 11240590, 11240610, 11240630, 11240750, 11240770, 11240800]",ST000313
잠원역,지하철,3호선,"[11220550, 11220590]","[11220550, 11220570, 11220580, 11220590, 11220600, 11230510, 11230520]",ST000168
장기역,지하철,김포골드라인,"[31230560, 31230620]","[23080810, 31230560, 31230600, 31230620]",ST000355
장기주차장역,지하철,자기부상,[23010640],"[23010630, 23010640]",ST000749
장기주차장역,지하철,자기부상철도,[23010640],"[23010630, 23010640]",ST000749
장승배기역,지하철,7호선,"[11200520, 11200540, 11200550, 11200560, 11200680, 11200720]","[11200520, 11200530, 11200540, 11200550, 11200560, 11200680, 11200720]",ST000300
장암역,지하철,7호선,"[31030550, 31030560]","[11100650, 31030550, 31030560]",ST000274
장자호수공원역,지하철,8호선,"[31120550, 31120580]","[31120540, 31120550, 31120570, 31120580]",ST000438
장자호수공원역,지하철,별내선,"[31120550, 31120580]","[31120540, 31120550, 31120570, 31120580]",ST000438
장지역,지하철,8호선,"[11240680, 11240690, 11240810, 11240820]","[11230760, 11240680, 11240690, 11240810, 11240820, 31021680]",ST000317
장한평역,지하철,5호선,"[11040700, 11060870]","[11040690, 11040700, 11050540, 11050550, 11060860, 11060870, 11060880, 11060910]",ST000223
전곡역,지하철,1호선,"[31550120, 31550320]","[31550120, 31550320]",ST000456
전대.에버랜드역,지하철,에버라인,[31191110],[31191110],ST000386
전대·에버랜드역,지하철,에버라인,[31191110],[31191110],ST000735
정릉역,지하철,우이신설선,"[11080590, 11080620, 11080630, 11080660, 11080830]","[11080580, 11080590, 11080620, 11080630, 11080640, 11080650, 11080660, 11080810, 11080830]",ST000010
정발산역,지하철,3호선,"[31103530, 31103560, 31103590]","[31103530, 31103560, 31103570, 31103590, 31104550]",ST000448
정발산역,지하철,일산선,"[31103530, 31103560, 31103590]","[31103530, 31103560, 31103570, 31103590, 31104550]",ST000448
정부과천청사역,지하철,4호선,"[31110510, 31110522, 31110530]","[31110510, 31110521, 31110522, 31110530, 31110540, 31110560]",ST000577
정부과천청사역,지하철,과천선,"[31110510, 31110522, 31110530]","[31110510, 31110521, 31110522, 31110530, 31110540, 31110560]",ST000577
정부과천청사역,지하철,안산과천선,"[31110510, 31110522, 31110530]","[31110510, 31110521, 31110522, 31110530, 31110540, 31110560]",ST000577
정왕역,지하철,4호선,"[31150611, 31150640, 31150650]","[31150611, 31150640, 31150650]",ST000526
정왕역,지하철,수인분당선,"[31150611, 31150640, 31150650]","[31150611, 31150640, 31150650]",ST000526
정왕역,지하철,안산과천선,"[31150611, 31150640, 31150650]","[31150611, 31150640, 31150650]",ST000526
정왕역,지하철,안산선,"[31150611, 31150640, 31150650]","[31150611, 31150640, 31150650]",ST000526
정자역,지하철,수인분당선,"[31023710, 31023770, 31023780]","[31023530, 31023540, 31023550, 31023560, 31023710, 31023750, 31023770, 31023780]",ST000337
정자역,지하철,신분당선,"[31023710, 31023770, 31023780]","[31023530, 31023540, 31023550, 31023560, 31023710, 31023750, 31023770, 31023780]",ST000337
제기동역,지하철,1호선,"[11060810, 11060820]","[11040540, 11040700, 11040710, 11060800, 11060810, 11060820, 11060830, 11060910, 11080600, 11080610]",ST000101
제물포역,지하철,1호선,"[23090540, 23090620, 23090750, 23090770]","[23020600, 23090520, 23090540, 23090570, 23090620, 23090660, 23090750, 23090760, 23090770]",ST000516
종각역,지하철,1호선,"[11010530, 11010610, 11020520, 11020550]","[11010530, 11010540, 11010600, 11010610, 11010720, 11020520, 11020540, 11020550, 11020600]",ST000096
종로3가역,지하철,1호선,"[11010610, 11020550, 11020600]","[11010540, 11010600, 11010610, 11010630, 11010640, 11020520, 11020550, 11020570, 11020590, 11020600]",ST000097
종로3가역,지하철,3호선,"[11010610, 11020550, 11020600]","[11010540, 11010600, 11010610, 11010630, 11010640, 11020520, 11020550, 11020570, 11020590, 11020600]",ST000097
종로3가역,지하철,5호선,"[11010610, 11020550, 11020600]","[11010540, 11010600, 11010610, 11010630, 11010640, 11020520, 11020550, 11020570, 11020590, 11020600]",ST000097
종로5가역,지하철,1호선,"[11010610, 11010630, 11010640, 11020590, 11020600]","[11010610, 11010630, 11010640, 11010670, 11010680, 11020570, 11020580, 11020590, 11020600, 11020690]",ST000098
종합운동장역,지하철,2호선,"[11230580, 11230790, 11240710, 11240780, 11240790]","[11230511, 11230580, 11230790, 11240710, 11240780, 11240790]",ST000119
종합운동장역,지하철,9호선,"[11230580, 11230790, 11240710, 11240780, 11240790]","[11230511, 11230580, 11230790, 11240710, 11240780, 11240790]",ST000119
주안국가산단역,지하철,인천2호선,"[23050580, 23060700, 23080640, 23090690]","[23020610, 23050580, 23060700, 23080620, 23080640, 23080650, 23090650, 23090690, 23090770]",ST000083
주안역,지하철,1호선,"[23090620, 23090650, 23090690, 23090700]","[23050580, 23060700, 23080640, 23090620, 23090650, 23090660, 23090680, 23090690, 23090700, 23090770]",ST000084
주안역,지하철,인천2호선,"[23090620, 23090650, 23090690, 23090700]","[23050580, 23060700, 23080640, 23090620, 23090650, 23090660, 23090680, 23090690, 23090700, 23090770]",ST000084
주엽역,지하철,3호선,"[31104550, 31104560]","[31103530, 31103580, 31103590, 31104530, 31104550, 31104560, 31104570]",ST000447
주엽역,지하철,일산선,"[31104550, 31104560]","[31103530, 31103580, 31103590, 31104530, 31104550, 31104560, 31104570]",ST000447
죽전역,지하철,수인분당선,"[31192590, 31193510, 31193550, 31193600, 31193610]","[31192590, 31193510, 31193520, 31193550, 31193560, 31193600, 31193610]",ST000497
중계역,지하철,7호선,"[11110770, 11110780]","[11100620, 11110520, 11110580, 11110590, 11110610, 11110660, 11110770, 11110780]",ST000279
중곡역,지하철,7호선,"[11050550, 11050560, 11050570, 11050580]","[11050550, 11050560, 11050570, 11050580, 11060870, 11060880, 11070540, 11070570]",ST000288
중동역,지하철,1호선,"[31051611, 31051621, 31052531, 31052541]","[23060690, 31051531, 31051611, 31051621, 31051651, 31052511, 31052531, 31052541]",ST000510
중랑역,지하철,경의중앙선,"[11070520, 11070590, 11070600, 11070610, 11070620]","[11060720, 11060730, 11060890, 11060900, 11070520, 11070550, 11070590, 11070600, 11070610, 11070620, 11070710]",ST000645
중랑역,지하철,경춘선,"[11070520, 11070590, 11070600, 11070610, 11070620]","[11060720, 11060730, 11060890, 11060900, 11070520, 11070550, 11070590, 11070600, 11070610, 11070620, 11070710]",ST000645
중앙보훈병원역,지하철,9호선,"[11250700, 11250710, 31180660]","[11250700, 11250710, 11250740, 31180600, 31180660]",ST000414
중앙역,지하철,4호선,"[31091620, 31091740, 31092730, 31092750]","[31091620, 31091740, 31092730, 31092740, 31092750]",ST000530
중앙역,지하철,수인분당선,"[31091620, 31091740, 31092730, 31092750]","[31091620, 31091740, 31092730, 31092740, 31092750]",ST000530
중앙역,지하철,안산과천선,"[31091620, 31091740, 31092730, 31092750]","[31091620, 31091740, 31092730, 31092740, 31092750]",ST000530
중앙역,지하철,안산선,"[31091620, 31091740, 31092730, 31092750]","[31091620, 31091740, 31092730, 31092740, 31092750]",ST000530
중화역,지하철,7호선,"[11070610, 11070620, 11070640, 11070650]","[11060890, 11060900, 11070590, 11070600, 11070610, 11070620, 11070640, 11070650, 11070700, 11080850]",ST000283
증미역,지하철,9호선,"[11160510, 11160520, 11160660]","[11140740, 11150530, 11160510, 11160520, 11160530, 11160540, 11160610, 11160650, 11160660]",ST000021
증산역,지하철,6호선,"[11120670, 11120730, 11130720]","[11120600, 11120660, 11120670, 11120680, 11120730, 11130700, 11130710, 11130720]",ST000250
지석역,지하철,에버라인,"[31192520, 31192600]","[31192520, 31192600, 31192650, 31192660, 31192690]",ST000398
지식정보단지역,지하철,인천1호선,[23040640],"[23040640, 23040650, 23040680]",ST000064
지축역,지하철,3호선,"[11120710, 31101560, 31101580]","[11120710, 31101512, 31101560, 31101580]",ST000151
지축역,지하철,일산선,"[11120710, 31101560, 31101580]","[11120710, 31101512, 31101560, 31101580]",ST000151
지평역,일반철도,ITX-새마을,[31580390],"[31580390, 31580400]",ST000628
지평역,일반철도,무궁화,[31580390],"[31580390, 31580400]",ST000628
지평역,지하철,경의중앙선,[31580390],"[31580390, 31580400]",ST000628
지행역,지하철,1호선,"[31080520, 31080560, 31080610]","[31080520, 31080560, 31080600, 31080610, 31260310]",ST000462
진위역,지하철,1호선,[31070310],[31070310],ST000547
진접역,지하철,진접선,[31130120],"[31130120, 31130150]",ST000665
창동역,지하철,1호선,"[11100590, 11100620, 11100630]","[11100520, 11100530, 11100550, 11100590, 11100600, 11100620, 11100630, 11110520, 11110740, 11110770]",ST000183
창동역,지하철,4호선,"[11100590, 11100620, 11100630]","[11100520, 11100530, 11100550, 11100590, 11100600, 11100620, 11100630, 11110520, 11110740, 11110770]",ST000183
창신역,지하철,6호선,"[11010670, 11010680, 11010690, 11010700, 11010710, 11080610, 11080820]","[11010630, 11010640, 11010670, 11010680, 11010690, 11010700, 11010710, 11010730, 11060810, 11080600, 11080610, 11080820]",ST000263
천마산역,지하철,경춘선,[31130111],[31130111],ST000600
천왕역,지하철,7호선,"[11170650, 11170730]","[11170640, 11170650, 11170670, 11170690, 11170730, 11170740, 31060530, 31060550]",ST000308
천호역,지하철,5호선,"[11240510, 11250630, 11250660, 11250730]","[11240510, 11240520, 11250610, 11250630, 11250650, 11250660, 11250730]",ST000227
천호역,지하철,8호선,"[11240510, 11250630, 11250660, 11250730]","[11240510, 11240520, 11250610, 11250630, 11250650, 11250660, 11250730]",ST000227
철산역,지하철,7호선,"[31060590, 31060600, 31060610]","[11180510, 31060510, 31060520, 31060530, 31060540, 31060570, 31060580, 31060590, 31060600, 31060610, 31060620, 31060630]",ST000306
청계산입구역,지하철,신분당선,"[11220670, 11220680]","[11220670, 11220680]",ST000335
청구역,지하철,5호선,"[11020580, 11020590, 11020650, 11020690, 11020700, 11020720, 11020730]","[11020570, 11020580, 11020590, 11020650, 11020670, 11020690, 11020700, 11020710, 11020720, 11020730, 11040520, 11040570, 11040590, 11040720]",ST000218
청구역,지하철,6호선,"[11020580, 11020590, 11020650, 11020690, 11020700, 11020720, 11020730]","[11020570, 11020580, 11020590, 11020650, 11020670, 11020690, 11020700, 11020710, 11020720, 11020730, 11040520, 11040570, 11040590, 11040720]",ST000218
청담역,지하철,7호선,"[11230580, 11230590, 11230780]","[11230530, 11230580, 11230590, 11230780]",ST000291
청라국제도시역,지하철,공항철도,"[23080790, 23080840]","[23080510, 23080780, 23080790, 23080840]",ST000328
청량리역,일반철도,ITX-마음,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,일반철도,ITX-새마을,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,일반철도,무궁화,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,준고속철도,KTX-이음,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,지하철,1호선,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,지하철,경의중앙선,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청량리역,지하철,경춘선,"[11060800, 11060810, 11060820, 11060830, 11060910]","[11040540, 11040700, 11060710, 11060730, 11060800, 11060810, 11060820, 11060830, 11060840, 11060910]",ST000102
청명역,지하철,수인분당선,"[31014640, 31014660, 31192640]","[31014600, 31014640, 31014660, 31192630, 31192640]",ST000494
청산역,지하철,1호선,"[31030520, 31030670, 31030690]","[31030520, 31030570, 31030580, 31030600, 31030650, 31030670, 31030680, 31030690]",ST000738
청평역,지하철,경춘선,[31570320],[31570320],ST000597
초 월역,지하철,경강선,[31250120],[31250120],ST000746
초당역,지하철,에버라인,"[31192600, 31192680]","[31191560, 31192600, 31192680, 31192690]",ST000395
초월역,지하철,경강선,[31250120],[31250120],ST000571
초지역,지하철,4호선,"[31092660, 31092780]","[31092660, 31092680, 31092780]",ST000361
초지역,지하철,서해선,"[31092660, 31092780]","[31092660, 31092680, 31092780]",ST000361
초지역,지하철,수인분당선,"[31092660, 31092780]","[31092660, 31092680, 31092780]",ST000361
초지역,지하철,안산과천선,"[31092660, 31092780]","[31092660, 31092680, 31092780]",ST000361
초지역,지하철,안산선,"[31092660, 31092780]","[31092660, 31092680, 31092780]",ST000361
총신대입구역,지하철,4호선,"[11200630, 11200650, 11200730, 11220610, 11220630, 11220650]","[11200630, 11200650, 11200660, 11200730, 11220610, 11220620, 11220630, 11220650]",ST000197
총신대입구역,지하철,7호선,"[11200630, 11200650, 11200730, 11220610, 11220630, 11220650]","[11200630, 11200650, 11200660, 11200730, 11220610, 11220620, 11220630, 11220650]",ST000197
춘의역,지하철,7호선,"[31051561, 31051591, 31051601, 31051651, 31051661, 31053511]","[31051511, 31051561, 31051591, 31051601, 31051641, 31051651, 31051661, 31053511]",ST000427
충무로역,지하철,3호선,"[11020550, 11020570, 11020580, 11020590, 11020600]","[11010610, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000161
충무로역,지하철,4호선,"[11020550, 11020570, 11020580, 11020590, 11020600]","[11010610, 11020550, 11020570, 11020580, 11020590, 11020600]",ST000161
충정로역,지하철,2호선,"[11020540, 11020680, 11130730, 11130740, 11140770, 11140780]","[11010580, 11020520, 11020540, 11020680, 11030530, 11030710, 11130520, 11130730, 11130740, 11140770, 11140780]",ST000143
충정로역,지하철,5호선,"[11020540, 11020680, 11130730, 11130740, 11140770, 11140780]","[11010580, 11020520, 11020540, 11020680, 11030530, 11030710, 11130520, 11130730, 11130740, 11140770, 11140780]",ST000143
캠퍼스타운역,지하철,인천1호선,"[23040640, 23040650]","[23040570, 23040580, 23040640, 23040650, 23050740]",ST000062
킨텍스역,광역급행철도,GTXA,"[31103580, 31104560, 31104570, 31104580]","[31103580, 31103590, 31104550, 31104560, 31104570, 31104580]",GTX_킨텍스_GTXA
탄현역,지하철,경의중앙선,"[31104511, 31104513]","[31104510, 31104511, 31104512, 31104513, 31104530, 31104570, 31104580, 31200513]",ST000615
탑석역,지하철,의정부,"[31030591, 31030700, 31030721]","[31030591, 31030700, 31030721]",ST000371
태릉입구역,지하철,6호선,"[11070640, 11070650, 11080850, 11110530, 11110790]","[11070640, 11070650, 11080850, 11110510, 11110530, 11110560, 11110790]",ST000270
태릉입구역,지하철,7호선,"[11070640, 11070650, 11080850, 11110530, 11110790]","[11070640, 11070650, 11080850, 11110510, 11110530, 11110560, 11110790]",ST000270
태평역,지하철,수인분당선,"[31021540, 31021560, 31021580, 31021590]","[31021510, 31021540, 31021550, 31021560, 31021580, 31021590, 31021640, 31021650, 31022510]",ST000504
테크노파크역,지하철,인천1호선,"[23040640, 23040650]","[23040640, 23040650]",ST000063
퇴계원역,지하철,경춘선,"[31120520, 31130160]","[31120520, 31130140, 31130160, 31130570]",ST000604
파라다이스시티역,지하철,자기부상,[23010640],"[23010630, 23010640]",ST000751
파라다이스시티역,지하철,자기부상철도,[23010640],"[23010630, 23010640]",ST000751
파주역,지하철,경의중앙선,[31200120],"[31200120, 31200310]",ST000609
판교역,일반철도,무궁화,"[31023740, 31023760]","[31023580, 31023610, 31023740, 31023750, 31023760]",ST000411
판교역,일반철도,새마을,"[31023740, 31023760]","[31023580, 31023610, 31023740, 31023750, 31023760]",ST000411
판교역,준고속철도,KTX-이음,"[31023740, 31023760]","[31023580, 31023610, 31023740, 31023750, 31023760]",ST000411
판교역,지하철,경강선,"[31023740, 31023760]","[31023580, 31023610, 31023740, 31023750, 31023760]",ST000411
판교역,지하철,신분당선,"[31023740, 31023760]","[31023580, 31023610, 31023740, 31023750, 31023760]",ST000411
팔당역,지하철,경의중앙선,"[31130110, 31180510]","[31130110, 31180510, 31180530]",ST000638
평내호평역,지하철,경춘선,"[31130510, 31130520]","[31130510, 31130520]",ST000601
평촌역,지하철,4호선,"[31042580, 31042600, 31042691]","[31042550, 31042580, 31042590, 31042600, 31042610, 31042650, 31042681, 31042691]",ST000575
평촌역,지하철,과천선,"[31042580, 31042600, 31042691]","[31042550, 31042580, 31042590, 31042600, 31042610, 31042650, 31042681, 31042691]",ST000575
평촌역,지하철,안산과천선,"[31042580, 31042600, 31042691]","[31042550, 31042580, 31042590, 31042600, 31042610, 31042650, 31042681, 31042691]",ST000575
평택역,일반철도,ITX-마음,"[31070590, 31070600, 31070610]","[31070110, 31070590, 31070600, 31070610, 31070640, 31070650, 31070670]",ST000543
평택역,일반철도,ITX-새마을,"[31070590, 31070600, 31070610]","[31070110, 31070590, 31070600, 31070610, 31070640, 31070650, 31070670]",ST000543
평택역,일반철도,무궁화,"[31070590, 31070600, 31070610]","[31070110, 31070590, 31070600, 31070610, 31070640, 31070650, 31070670]",ST000543
평택역,일반철도,새마을,"[31070590, 31070600, 31070610]","[31070110, 31070590, 31070600, 31070610, 31070640, 31070650, 31070670]",ST000543
평택역,지하철,1호선,"[31070590, 31070600, 31070610]","[31070110, 31070590, 31070600, 31070610, 31070640, 31070650, 31070670]",ST000543
평택지제역,지하철,1호선,[31070640],"[31070510, 31070530, 31070640, 31070690]",ST000748
풍무역,지하철,김포골드라인,"[31230530, 31230540]","[31230120, 31230530, 31230540]",ST000351
풍산역,지하철,경의중앙선,"[31103512, 31103530, 31103540, 31103560]","[31103512, 31103530, 31103540, 31103560]",ST000617
풍산역,지하철,서해선,"[31103512, 31103530, 31103540, 31103560]","[31103512, 31103530, 31103540, 31103560]",ST000617
하계역,지하철,7호선,"[11110580, 11110590, 11110780]","[11110520, 11110530, 11110560, 11110580, 11110590, 11110770, 11110780, 11110790]",ST000280
하남검단산역,지하철,5호선,"[31180510, 31180530]","[31180510, 31180530]",ST000244
하남시청역,지하철,5호선,"[31180520, 31180530, 31180540, 31180550, 31180560]","[31180510, 31180520, 31180530, 31180540, 31180550, 31180560, 31180611]",ST000243
하남풍산역,지하철,5호선,"[31180560, 31180611]","[31180530, 31180550, 31180560, 31180611, 31180620]",ST000242
학동역,지하철,7호선,"[11230520, 11230530]","[11220550, 11220570, 11230510, 11230520, 11230530, 11230590, 11230640, 11230770, 11230780]",ST000293
학여울역,지하철,3호선,"[11230511, 11230790, 11230800]","[11230511, 11230600, 11230630, 11230730, 11230790, 11230800, 11240710, 11240780]",ST000174
한강진역,지하철,6호선,"[11030660, 11030740]","[11020580, 11020700, 11020710, 11030650, 11030660, 11030700, 11030740, 11040730]",ST000261
한국항공대역,지하철,경의중앙선,"[31101620, 31101630]","[31101510, 31101511, 31101514, 31101610, 31101620, 31101630]",ST000744
한남역,지하철,경의중앙선,"[11030700, 11030740, 11220550, 11230510]","[11030690, 11030700, 11030740, 11040730, 11220550, 11230510]",ST000657
한대앞역,지하철,4호선,"[31091740, 31091760]","[31091510, 31091560, 31091570, 31091620, 31091740, 31091760, 31091780]",ST000531
한대앞역,지하철,수인분당선,"[31091740, 31091760]","[31091510, 31091560, 31091570, 31091620, 31091740, 31091760, 31091780]",ST000531
한대앞역,지하철,안산과천선,"[31091740, 31091760]","[31091510, 31091560, 31091570, 31091620, 31091740, 31091760, 31091780]",ST000531
한대앞역,지하철,안산선,"[31091740, 31091760]","[31091510, 31091560, 31091570, 31091620, 31091740, 31091760, 31091780]",ST000531
한성대입구역,지하철,4호선,"[11010640, 11010730, 11080590, 11080810, 11080820]","[11010640, 11010680, 11010690, 11010700, 11010730, 11080590, 11080610, 11080630, 11080810, 11080820, 11080830]",ST000189
한성백제역,지하철,9호선,"[11240570, 11240580, 11240590, 11240750]","[11240520, 11240570, 11240580, 11240590, 11240610, 11240620, 11240750, 11240770]",ST000416
한양대역,지하철,2호선,"[11040550, 11040560, 11040660, 11040690]","[11040540, 11040550, 11040560, 11040570, 11040580, 11040660, 11040680, 11040690, 11040700, 11040710]",ST000110
한티역,지하철,수인분당선,"[11230600, 11230630, 11230650, 11230670]","[11230590, 11230600, 11230630, 11230640, 11230650, 11230660, 11230670, 11230790, 11230800]",ST000649
합동청사역,지하철,자기부상,[23010640],"[23010630, 23010640]",ST000750
합동청사역,지하철,자기부상철도,[23010640],"[23010630, 23010640]",ST000750
합정역,지하철,2호선,"[11140660, 11140680]","[11140660, 11140680, 11140690, 11140710, 11140720, 11140760, 11190540]",ST000138
합정역,지하철,6호선,"[11140660, 11140680]","[11140660, 11140680, 11140690, 11140710, 11140720, 11140760, 11190540]",ST000138
행당역,지하철,5호선,"[11040520, 11040560, 11040570, 11040580, 11040590]","[11020650, 11020720, 11020730, 11040520, 11040550, 11040560, 11040570, 11040580, 11040590, 11040620, 11040710, 11040720]",ST000220
행신역,고속철도,KTX,"[31101640, 31101660]","[31101515, 31101610, 31101640, 31101650, 31101660]",ST000621
행신역,고속철도,KTX-산천,"[31101640, 31101660]","[31101515, 31101610, 31101640, 31101650, 31101660]",ST000621
행신역,고속철도,KTX-청룡,"[31101640, 31101660]","[31101515, 31101610, 31101640, 31101650, 31101660]",ST000621
행신역,준고속철도,KTX-이음,"[31101640, 31101660]","[31101515, 31101610, 31101640, 31101650, 31101660]",ST000621
행신역,지하철,경의중앙선,"[31101640, 31101660]","[31101515, 31101610, 31101640, 31101650, 31101660]",ST000621
혜화역,지하철,4호선,"[11010610, 11010640, 11010730, 11080820]","[11010610, 11010630, 11010640, 11010680, 11010690, 11010730, 11080810, 11080820]",ST000190
호구포역,지하철,수인분당선,"[23050730, 23050740]","[23050670, 23050730, 23050740]",ST000479
홍대입구역,지하철,2호선,"[11130750, 11130760, 11140660, 11140710, 11140760]","[11130750, 11130760, 11140600, 11140630, 11140660, 11140710, 11140720, 11140760]",ST000139
홍대입구역,지하철,경의중앙선,"[11130750, 11130760, 11140660, 11140710, 11140760]","[11130750, 11130760, 11140600, 11140630, 11140660, 11140710, 11140720, 11140760]",ST000139
홍대입구역,지하철,공항철도,"[11130750, 11130760, 11140660, 11140710, 11140760]","[11130750, 11130760, 11140600, 11140630, 11140660, 11140710, 11140720, 11140760]",ST000139
홍제역,지하철,3호선,"[11130620, 11130640, 11130650, 11130660, 11130680]","[11130620, 11130640, 11130650, 11130660, 11130680, 11130760]",ST000156
화계역,지하철,우이신설선,"[11090600, 11090630, 11090650, 11090750]","[11090600, 11090610, 11090630, 11090640, 11090650, 11090690, 11090700, 11090750]",ST000005
화곡역,지하철,5호선,"[11160550, 11160580, 11160730, 11160740]","[11150570, 11150610, 11160550, 11160580, 11160610, 11160630, 11160670, 11160730, 11160740]",ST000205
화랑대역,지하철,6호선,"[11070640, 11070690, 11110560, 11110790]","[11070640, 11070650, 11070690, 11070700, 11110560, 11110790]",ST000271
화서역,지하철,1호선,"[31011570, 31012560, 31013710]","[31011550, 31011570, 31011620, 31012560, 31012570, 31013700, 31013710]",ST000554
화전역,지하철,경의중앙선,"[31101670, 31101680]","[31101670, 31101680]",ST000623
화정역,지하철,3호선,"[31101620, 31101630]","[31101510, 31101511, 31101514, 31101610, 31101620, 31101630]",ST000737
화정역,지하철,일산선,"[31101620, 31101630]","[31101514, 31101515, 31101610, 31101620, 31101630, 31101640, 31101650]",ST000451
회기역,지하철,1호선,"[11060710, 11060720, 11060730, 11060830, 11060840, 11060890]","[11060710, 11060720, 11060730, 11060800, 11060830, 11060840, 11060890]",ST000655
회기역,지하철,경의중앙선,"[11060710, 11060720, 11060730, 11060830, 11060840, 11060890]","[11060710, 11060720, 11060730, 11060800, 11060830, 11060840, 11060890]",ST000655
회기역,지하철,경춘선,"[11060710, 11060720, 11060730, 11060830, 11060840, 11060890]","[11060710, 11060720, 11060730, 11060800, 11060830, 11060840, 11060890]",ST000655
회룡역,지하철,1호선,"[31030550, 31030560, 31030570, 31030650, 31030690]","[31030520, 31030550, 31030560, 31030570, 31030650, 31030690]",ST000384
회룡역,지하철,의정부,"[31030550, 31030560, 31030570, 31030650, 31030690]","[31030520, 31030550, 31030560, 31030570, 31030650, 31030690]",ST000384
회현역,지하철,4호선,"[11020520, 11020540, 11020550]","[11020520, 11020540, 11020550, 11020570, 11020600, 11020680, 11030510, 11030530, 11130730]",ST000192
효자역,지하철,의정부,"[31030580, 31030591, 31030600]","[31030580, 31030591, 31030600, 31030710]",ST000375
효창공원앞역,지하철,6호선,"[11030570, 11030580, 11030590, 11030710, 11030720, 11030730]","[11030530, 11030570, 11030580, 11030590, 11030710, 11030720, 11030730, 11140750, 11140770]",ST000258
효창공원앞역,지하철,경의중앙선,"[11030570, 11030580, 11030590, 11030710, 11030720, 11030730]","[11030530, 11030570, 11030580, 11030590, 11030710, 11030720, 11030730, 11140750, 11140770]",ST000258
흑석역,지하철,9호선,"[11030630, 11200710, 11200720]","[11030630, 11030640, 11200530, 11200710, 11200720, 11200730]",ST000032
흥선역,지하철,의정부,"[31030520, 31030670, 31030680]","[31030520, 31030670, 31030680, 31030690]",ST000380
