시군구,행정동코드,행정동명,행정동총면적_m2,주거용지비율,상업업무용지비율,공공시설용지비율
서울_종로구,11010530,사직동,1157671.2996191066,9.168483713512767,12.58037655219366,2.5210998310166377
서울_종로구,11010540,삼청동,1476086.244918536,4.139636608127883,4.268350745238117,1.6338256690173247
서울_종로구,11010550,부암동,2273044.4091353468,8.225045558757389,2.190655582872993,2.096652083970634
서울_종로구,11010560,평창동,8940655.329911664,4.803285419579791,0.7657532388125766,0.4736663363121697
서울_종로구,11010570,무악동,369245.4822686503,7.147563369387297,2.919003591673484,2.3624504108347524
서울_종로구,11010580,교남동,346667.13479939464,15.764483741761255,8.100110599266191,4.165433365674306
서울_종로구,11010600,가회동,539599.8544892247,17.414913365347747,10.203017028739463,4.109892871629805
서울_종로구,11010610,종로1·2·3·4가동,2415326.730085671,1.7796112622854712,21.688719150253,0.964531899910496
서울_종로구,11010630,종로5·6가동,602712.8344987278,7.392420472680321,29.245416769560663,2.8533965377225687
서울_종로구,11010640,이화동,781806.2194507818,10.220077539615966,12.475704684534762,8.861895893515202
서울_종로구,11010670,창신1동,304915.0810513392,13.191554794111369,25.071075724852204,4.157565328375156
서울_종로구,11010680,창신2동,257320.96135152745,29.63861056374473,12.139633095179487,1.9318738562078053
서울_종로구,11010690,창신3동,216671.8870710232,18.350931419050863,5.653647351246437,3.41286993391121
서울_종로구,11010700,숭인1동,239215.32115701263,23.797794170604167,8.524258820719417,1.8382555795117188
서울_종로구,11010710,숭인2동,351640.31189976155,17.280618215788074,23.250955474580408,2.838765385107826
서울_종로구,11010720,청운효자동,2568560.056117465,7.364078428646762,3.5276484279119296,2.3233599087552728
서울_종로구,11010730,혜화동,1131570.126434548,17.061551562988214,7.627284755204207,7.489593086260005
서울_중구,11020520,소공동,943090.0451435072,1.3303807375355354,22.0534761542169,2.686253699842476
서울_중구,11020540,회현동,897156.106999932,3.901961735745703,18.862476376128164,1.085226930987087
서울_중구,11020550,명동,968876.2596072336,2.163342593720772,31.892053672161108,3.2905623581199923
서울_중구,11020570,필동,1463586.7173389706,2.87302168383506,10.308809679348435,4.028769853909783
서울_중구,11020580,장충동,1017158.9421082004,5.424994692459099,11.498358873218011,1.063478068700618
서울_중구,11020590,광희동,736648.8912997656,3.118857407219069,36.46787409137971,0.8711701171110047
서울_중구,11020600,을지로동,611191.8241216319,0.9361734867777648,43.31118257793366,1.05837301429628
서울_중구,11020650,신당5동,319464.4409896149,16.753696092781446,14.13217977131634,3.685916396476245
서울_중구,11020670,황학동,328391.1913211211,9.607153395094713,32.33959212343392,0.6194955383758399
서울_중구,11020680,중림동,484023.16386115225,11.073081642976067,12.844267641974568,3.557092142840245
서울_중구,11020690,신당동,534537.9543277827,10.832981593187816,25.71174523792672,4.860491431027436
서울_중구,11020700,다산동,523575.8824797477,27.184819259856045,11.22872161993293,3.807369441082177
서울_중구,11020710,약수동,485866.1432877514,13.083303490519585,7.5551310241491185,1.2283623437038715
서울_중구,11020720,청구동,342312.10888944694,17.27114835846222,9.175480867404524,4.407018364340472
서울_중구,11020730,동화동,326798.3838419116,11.9401815470339,11.627744586832828,3.2114715166112897
서울_용산구,11030510,후암동,865244.0803748902,21.674043482147063,5.142871992061927,2.6631241073752383
서울_용산구,11030520,용산2가동,1965379.646328625,5.5045553182518,1.5281863414429178,1.118336797542414
서울_용산구,11030530,남영동,1176908.797605099,4.99666053379922,8.091336818180633,0.7140750291200192
서울_용산구,11030570,원효로2동,708448.6920712206,10.752539765678089,10.044050640106985,2.7773084579362712
서울_용산구,11030580,효창동,445853.9028966531,14.505998568654013,4.180895137123014,2.54423373134956
서울_용산구,11030590,용문동,277325.00179992145,22.71204192644746,10.5042447291685,1.1841375259347453
서울_용산구,11030630,이촌1동,2870622.4573845994,3.4900636969925256,1.0277952709423646,0.720134828807773
서울_용산구,11030640,이촌2동,1204647.7115449945,2.540333986136832,1.491506473293843,0.461217691498073
서울_용산구,11030650,이태원1동,582461.1004865179,17.763118593409388,15.732821156712696,1.1817058136193554
서울_용산구,11030660,이태원2동,873587.4397270826,16.52568383593838,5.709252225392434,0.8073884941925232
서울_용산구,11030690,서빙고동,2819832.46527736,4.139163315817066,1.424736725758356,0.4832627414830167
서울_용산구,11030700,보광동,714558.4725689037,23.03973597851204,5.280245257731391,2.5702886384884427
서울_용산구,11030710,청파동,885524.0864885414,21.66788829467936,9.776848328028825,6.83161531149293
서울_용산구,11030720,원효로1동,588618.2441152311,14.075691936292452,16.844882381299257,1.772897209254835
서울_용산구,11030730,한강로동,2867675.943997137,4.20622464578896,9.161125534946189,1.044720458827025
서울_용산구,11030740,한남동,3029614.718166791,10.832671709203098,6.485232545027392,0.8975517873874316
서울_성동구,11040520,왕십리2동,372143.4604807907,18.89710578576536,7.61601119464618,2.1634625093688724
서울_성동구,11040540,마장동,1034489.291812161,10.772673246722434,14.35645056461348,3.311861812378301
서울_성동구,11040550,사근동,1168326.7093078103,6.948837170303144,4.61531577278212,10.839002997433274
서울_성동구,11040560,행당1동,573130.4000000659,9.285650151307252,10.32370892183263,2.354463464333024
서울_성동구,11040570,행당2동,457322.1761841619,14.596370472755924,3.5772771629744247,3.487846531107789
서울_성동구,11040580,응봉동,553164.5845739627,10.960089650509843,2.020367004050708,1.7058094186609374
서울_성동구,11040590,금호1가동,445096.9507123839,10.66698426135301,4.487869518463097,3.0570107681802674
서울_성동구,11040620,금호4가동,831211.830733361,8.234000317662446,2.732980245180653,1.6312700550777406
서울_성동구,11040650,성수1가1동,1884441.4977924544,4.847735368141818,5.0097376007869165,12.658301420871132
서울_성동구,11040660,성수1가2동,929378.449226402,7.900587053409004,10.89543295143871,2.5768628032107133
서울_성동구,11040670,성수2가1동,1184060.9126513745,9.729921737301414,13.140093642042585,2.027222320471044
서울_성동구,11040680,성수2가3동,1053696.7254850871,3.994258319388027,31.27483400130433,1.3640148320016106
서울_성동구,11040690,송정동,681394.466015134,11.644212448897015,5.268690232653111,1.2458779318877198
서울_성동구,11040700,용답동,2375334.161802022,3.344467538709492,7.409071885235546,4.778252896566284
서울_성동구,11040710,왕십리도선동,709747.3358944025,14.0738241282594,10.844767830017725,3.031861029755316
서울_성동구,11040720,금호2·3가동,630718.9454332939,19.81756488931824,5.692012064322785,2.2443790402441897
서울_성동구,11040730,옥수동,1920719.090109008,5.0244149957843165,1.428347638789639,1.2417565153020649
서울_광진구,11050530,화양동,1135446.812010598,12.825389829593837,9.780902410952068,9.00394415271564
서울_광진구,11050540,군자동,737460.1372972513,21.25785257265508,9.960494410457173,7.066679977656516
서울_광진구,11050550,중곡1동,614033.6009455529,18.721074883459373,13.680945837036065,1.7721843792660823
서울_광진구,11050560,중곡2동,545123.0428054762,28.165672426898748,12.794681114292796,2.391655357313434
서울_광진구,11050570,중곡3동,601404.2505817785,20.226503815679457,10.93161069073599,3.3195787749139534
서울_광진구,11050580,중곡4동,2311686.975970048,9.807160700476192,2.5456921971902444,1.2099480749063165
서울_광진구,11050590,능동,1091266.620928269,9.917742423334545,3.769733653742507,0.833175545740582
서울_광진구,11050600,구의1동,594547.3377039409,26.466262533475053,12.128180938713715,2.295850031810833
서울_광진구,11050610,구의2동,1386971.8853216723,14.1277567350382,4.207775349455798,10.580601849865989
서울_광진구,11050620,구의3동,1026770.2186114228,11.56886983972397,9.610457784507553,1.3650412649682115
서울_광진구,11050630,광장동,2391913.4431120986,5.046589923701295,3.946926433433705,4.13399752059441
서울_광진구,11050640,자양1동,568431.369456211,26.602618117228456,11.964727977823951,2.1803766541652783
서울_광진구,11050650,자양2동,1656250.4546226012,9.201955730066771,4.64349379730419,2.143534142657677
서울_광진구,11050660,자양3동,1195503.3965950874,8.4265051515704,4.798802959918649,2.6633565212141144
서울_광진구,11050670,자양4동,1179121.316773601,12.86938379989771,7.444330326940854,1.2691951140545084
서울_동대문구,11060710,회기동,766332.5189408528,10.432773563016054,9.118081565755949,6.589171432681212
서울_동대문구,11060720,휘경1동,521397.6276853318,12.161444699682647,8.90504085307405,0.8920171420897349
서울_동대문구,11060730,휘경2동,1112757.5054327354,12.753344167961348,5.470974992440477,4.2304582059190015
서울_동대문구,11060800,청량리동,1203482.1013895755,11.058870257106197,9.263556146864104,3.676542233735689
서울_동대문구,11060810,용신동,1617172.3870440316,12.473569435125157,17.07720731802596,2.0543778494513054
서울_동대문구,11060820,제기동,1180807.747504301,16.291278346343184,20.08403459641699,2.5260551597108187
서울_동대문구,11060830,전농1동,1125837.1944873373,17.11187425463476,11.029820250974808,5.220013153769673
서울_동대문구,11060840,전농2동,976821.1385074372,8.213191488406455,3.441000452713137,9.160002231763368
서울_동대문구,11060860,답십리2동,875076.2664751676,12.012774532152031,11.213332448168616,1.5852601019521264
서울_동대문구,11060870,장안1동,1341140.8014898573,13.73337334075092,15.014979600709005,2.1076318145367745
서울_동대문구,11060880,장안2동,995877.0812284732,15.068528193789785,13.732742071719668,2.7975726544396387
서울_동대문구,11060890,이문1동,1038808.7971404,12.902719055634632,4.799357347384299,5.128466524405822
서울_동대문구,11060900,이문2동,723336.1432560202,12.810572717159996,9.808290950172363,1.8687649470673893
서울_동대문구,11060910,답십리1동,787641.347694006,15.618002836738762,9.664233705745866,2.7545946956395206
서울_중랑구,11070520,면목2동,762536.3752363183,20.531257321978973,10.511117899938478,2.382616928719004
서울_중랑구,11070540,면목4동,842818.455418721,13.20220338212795,4.798591453437553,2.351213400798057
서울_중랑구,11070550,면목5동,704395.2091784383,11.325138269279442,7.111440923769301,0.786586958924024
서울_중랑구,11070570,면목7동,1234524.0150640404,10.494277361467429,4.233787383149711,0.9216208719962158
서울_중랑구,11070590,상봉1동,853561.8367980008,13.752896306231769,4.604280096686042,2.786321236882116
서울_중랑구,11070600,상봉2동,676924.9459255502,16.403348216646506,16.850363440992666,1.1665640178487329
서울_중랑구,11070610,중화1동,641000.9120395957,19.233904005591093,4.881041743746703,4.231912227367291
서울_중랑구,11070620,중화2동,1016175.9160013152,18.85209003457373,6.835906747200449,1.989803581403592
서울_중랑구,11070640,묵1동,1237485.180428794,15.292632975855172,4.255150894234272,2.705577335444342
서울_중랑구,11070650,묵2동,668690.7559510663,18.065597264589265,6.678577498735981,2.7570175710215543
서울_중랑구,11070680,망우3동,961818.5318018144,13.850505926389442,4.196412052345498,1.9561631797850447
서울_중랑구,11070690,신내1동,2604936.6339994743,5.4754667071178975,4.726381142466036,1.0360404105210614
서울_중랑구,11070700,신내2동,910579.9236387472,5.458857541427184,3.3632633017340194,2.6769944869773203
서울_중랑구,11070710,면목본동,848365.78313685,29.141772010141327,9.723761636063758,2.7087237581089245
서울_중랑구,11070720,면목3·8동,1613531.430220525,10.423584819508529,4.688036661220445,2.319361571354545
서울_중랑구,11070730,망우본동,2945831.542387538,7.051761116404236,5.864877128926129,2.1533005013327235
서울_성북구,11080580,돈암1동,488925.34809077566,11.095543156974486,2.5897272934811384,2.756512531128955
서울_성북구,11080590,돈암2동,518117.1719194885,14.23838528624071,2.2456980900704786,3.774425044516599
서울_성북구,11080600,안암동,1378526.3863605345,9.069868282236484,7.088490873680119,11.048804608578838
서울_성북구,11080610,보문동,552588.386634134,17.816342342219734,9.907636515233277,2.972274605870041
서울_성북구,11080620,정릉1동,411654.233031389,20.7431554513967,7.683109851090101,1.4061200720597384
서울_성북구,11080630,정릉2동,1094064.485333524,17.476598295985575,3.7810712093957872,1.7309923790768278
서울_성북구,11080640,정릉3동,3324627.606889553,6.5328668957861895,1.496834792007424,2.7671799828442345
서울_성북구,11080650,정릉4동,3568232.306668583,4.734637027611602,1.2228144538744998,1.2252755088807177
