dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1106071,회기동,서울특별시,동대문구,1254,7030,2037,10776,992,2019,2019
1106072,휘경1동,서울특별시,동대문구,1628,9494,3420,3477,849,2019,2019
1106073,휘경2동,서울특별시,동대문구,3553,15372,5405,4334,625,2019,2019
1106080,청량리동,서울특별시,동대문구,2211,11614,7332,8132,1476,2019,2019
1106081,용신동,서울특별시,동대문구,2945,19927,7736,28388,5015,2019,2019
1106082,제기동,서울특별시,동대문구,2558,14786,7590,13355,4487,2019,2019
1106083,전농1동,서울특별시,동대문구,4086,18683,7769,7608,2068,2019,2019
1106084,전농2동,서울특별시,동대문구,3182,11360,4958,4681,748,2019,2019
1106086,답십리2동,서울특별시,동대문구,4211,18345,7602,7259,1902,2019,2019
1106087,장안1동,서울특별시,동대문구,5419,24172,8912,20112,4020,2019,2019
1106088,장안2동,서울특별시,동대문구,5876,19742,7106,11143,2711,2019,2019
1106089,이문1동,서울특별시,동대문구,2198,12155,4492,6099,1070,2019,2019
1106090,이문2동,서울특별시,동대문구,3339,12139,5204,2126,521,2019,2019
1106091,답십리1동,서울특별시,동대문구,4882,18738,5732,7660,1590,2019,2019
1107052,면목2동,서울특별시,중랑구,3222,16080,6295,5974,1730,2019,2019
1107054,면목4동,서울특별시,중랑구,2529,12082,5144,3561,894,2019,2019
1107055,면목5동,서울특별시,중랑구,1206,6040,2454,2889,669,2019,2019
1107057,면목7동,서울특별시,중랑구,2565,13453,5854,4105,1247,2019,2019
1107059,상봉1동,서울특별시,중랑구,4147,15797,5390,6369,904,2019,2019
1107060,상봉2동,서울특별시,중랑구,1752,13573,4186,9150,2003,2019,2019
1107061,중화1동,서울특별시,중랑구,2885,12847,4994,3345,844,2019,2019
1107062,중화2동,서울특별시,중랑구,2565,16914,7241,6462,1802,2019,2019
1107064,묵1동,서울특별시,중랑구,5938,21926,7972,5386,1205,2019,2019
1107065,묵2동,서울특별시,중랑구,2532,12237,4895,4087,1210,2019,2019
1107068,망우3동,서울특별시,중랑구,2198,10715,4661,3515,901,2019,2019
1107069,신내1동,서울특별시,중랑구,7630,23648,9439,10867,1366,2019,2019
1107070,신내2동,서울특별시,중랑구,3435,12908,5473,6176,826,2019,2019
1107071,면목본동,서울특별시,중랑구,4031,22829,8481,7328,2219,2019,2019
1107072,면목3·8동,서울특별시,중랑구,2969,16185,6987,7338,1790,2019,2019
1107073,망우본동,서울특별시,중랑구,3640,18715,8356,10522,2347,2019,2019
1108058,돈암1동,서울특별시,성북구,2419,9417,3982,2012,282,2019,2019
1108059,돈암2동,서울특별시,성북구,5225,14889,4814,2376,320,2019,2019
1108060,안암동,서울특별시,성북구,1463,10947,2996,13244,1330,2019,2019
1108061,보문동,서울특별시,성북구,2092,10753,3436,5199,1032,2019,2019
1108062,정릉1동,서울특별시,성북구,3421,11365,4155,1833,614,2019,2019
1108063,정릉2동,서울특별시,성북구,3617,13875,6057,2722,665,2019,2019
1108064,정릉3동,서울특별시,성북구,1804,9449,4382,4611,564,2019,2019
1108065,정릉4동,서울특별시,성북구,4235,15549,6607,3910,708,2019,2019
1108066,길음1동,서울특별시,성북구,9206,21510,6165,3751,843,2019,2019
1108068,길음2동,서울특별시,성북구,2784,10162,3540,4743,921,2019,2019
