자료권역,시도,행정동코드,행정동명,행정동전체면적_m2,상업업무지역면적_m2,상업업무지역비율_pct,공공시설지역면적_m2,공공시설지역비율_pct,주거지역면적_m2,주거지역비율_pct
서울_강남구,서울,1123051,신사동,2059267.8580080527,131748.61140000314,6.397837507522926,212886.39796260805,10.337965366415949,594958.3641999977,28.891742367867874
서울_강남구,서울,1123052,논현1동,1258764.6507890488,140076.67829999042,11.128107085957986,0.0,0.0,798093.201999994,63.40289278855378
서울_강남구,서울,1123053,논현2동,1458547.669432969,360657.4561500003,24.727162759802766,69193.3228999955,4.743987759199902,699858.877049985,47.9832707368464
서울_강남구,서울,1123058,삼성1동,1944660.0929147715,241324.33074999638,12.409589296825915,461912.74248237605,23.752878159289725,392187.58935001626,20.1674107870534
서울_강남구,서울,1123059,삼성2동,1242291.612116843,190303.1910500018,15.318721401147394,273207.08519999735,21.992186257657917,547656.0283499847,44.08433760707669
서울_강남구,서울,1123060,대치1동,809835.9157511075,78478.61704999107,9.690681226110307,38911.24205000264,4.804830372818572,382864.3276405579,47.27677794895753
서울_강남구,서울,1123063,대치4동,701092.7189487013,223191.04066546712,31.83473949068325,0.0,0.0,329237.058496275,46.96055879598504
서울_강남구,서울,1123064,역삼1동,2362171.475435159,779391.3025003944,32.99469621936802,100340.03360000154,4.24778787837648,953735.431900003,40.37536824985603
서울_강남구,서울,1123065,역삼2동,1135047.6533913848,251682.7347000105,22.173759308520044,19971.713649999532,1.7595484727294466,585427.6109499932,51.57735969946341
서울_강남구,서울,1123066,도곡1동,1050626.2764697205,97132.6432048969,9.245213581681849,362813.80014286854,34.533097854927384,322301.45912019856,30.677079598959317
서울_강남구,서울,1123067,도곡2동,990779.0022442362,84707.84459569065,8.54962049092855,83632.61255713225,8.441096588411149,429712.57944007637,43.37118353000261
서울_강남구,서울,1123068,개포1동,1449975.081151793,28343.44294328608,1.954753796235682,14943.975536066113,1.030636714404451,553301.8834774997,38.15940636979653
서울_강남구,서울,1123071,개포4동,1665487.9013797638,199024.00311869424,11.949891857744145,116581.42924999667,6.999836453535055,399496.1589821781,23.986734376828423
서울_강남구,서울,1123072,일원본동,2354662.636919847,103.30810622767335,0.004387384613313927,162212.38090000147,6.8889860635064375,406188.7047601113,17.25039920332069
서울_강남구,서울,1123073,일원1동,953486.664653117,48388.634050001994,5.074914610117386,96277.47660081106,10.097411969137216,263138.2276999911,27.597473300344692
서울_강남구,서울,1123074,일원2동,1300311.078114773,25412.49749999885,1.954339844342678,151369.70776292947,11.641038080086918,383164.7657901044,29.467161530733655
서울_강남구,서울,1123075,수서동,1629429.578736132,33892.50789377133,2.08002287033847,111376.57354919481,6.835310651202498,247841.7522398846,15.210338358539142
서울_강남구,서울,1123076,세곡동,6367874.507025168,74920.79665000393,1.1765432338113728,15069.438149997843,0.23664785060341456,399380.03075000155,6.271794934234294
서울_강남구,서울,1123077,압구정동,2345094.8771129805,105433.89240000339,4.495932912096156,80068.35524999663,3.4142906554197867,984757.6252499911,41.99222960489833
서울_강남구,서울,1123078,청담동,2329254.634192426,249864.1295000119,10.727214012247401,79648.31656763122,3.4194765741121307,870812.0887500093,37.38586910880733
서울_강남구,서울,1123079,대치2동,1837396.610507752,293876.31538451905,15.994168798608394,116939.88413961697,6.36443343102181,650677.6744632943,35.41302246570946
서울_강남구,서울,1123080,개포2동,2243374.709892442,25639.31985671154,1.1428906523574394,163904.92236141078,7.306176789755696,690898.0662000688,30.797265528289465
서울_강동구,서울,1125053,명일1동,634952.3557059799,53462.32325692495,8.419895253004013,0.0,0.0,468956.71263272845,73.85699232682002
서울_강동구,서울,1125054,명일2동,914343.4648566867,70645.14264999912,7.726324446478324,0.0,0.0,368691.73575867683,40.32311160188204
서울_강동구,서울,1125055,고덕1동,1518519.7017928208,50545.30061835895,3.3285903738149263,0.0,0.0,471161.7658579692,31.0277018666072
서울_강동구,서울,1125056,고덕2동,2475353.801416625,34196.31870000117,1.3814719609144719,197175.81115489625,7.9655607631545085,426798.76025001734,17.241929618536304
서울_강동구,서울,1125058,암사2동,2174364.728126114,35123.66042373702,1.6153527496744713,0.0,0.0,228161.79744999498,10.493262445745557
서울_강동구,서울,1125059,암사3동,1799397.0474352178,16770.110828403376,0.9319850142194444,0.0,0.0,310681.30694863416,17.265856215084145
서울_강동구,서울,1125061,천호1동,669009.1815196237,26929.48319999765,4.025278567751276,0.0,0.0,488758.1293699699,73.05701369595229
서울_강동구,서울,1125063,천호3동,561881.0869638725,75766.94595000638,13.484516156152093,0.0,0.0,418063.95473681414,74.40434718951387
