dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거용지면적_m2,상업업무용지면적_m2,공공시설용지면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11010720,청운효자동,1,2568560.056117465,30049972.660224803,5212989.332289485,7672431.564635447,11.699151276862558,2.0295376469293993,2.9870555474699687,0,2159,7625,2950,5615,987,0,0,5.92,0.0021860497233090023,0.0003842619905442538,3.8932319204078403e-07,83.28425552873807
11010530,사직동,5,1157671.2996191066,15940930.746589435,13317513.813309878,5088245.032983554,13.769824605511316,11.503709056008873,4.395241580799033,0,1386,5706,2443,47503,3555,0,0,43.36,0.04103323630396551,0.003070819844232941,4.3190152520857124e-06,70.33122475768079
11010540,삼청동,1,1476086.244918536,10401732.92393675,6263799.066602838,4090375.422352549,7.046832771286216,4.243518350073463,2.7710951419226144,0,316,1565,877,4600,724,0,0,0.0,0.0031163490722879183,0.0004904862452905333,6.774671896278083e-07,85.93855373671771
11010550,부암동,0,2273044.4091353468,25893270.41780395,4657772.424031173,5107304.779051215,11.391449420758834,2.0491339303850045,2.2469005702330316,0,1554,6005,2541,3419,564,0,0,3.9,0.0015041501108575025,0.0002481253765790089,0.0,84.31251607862313
11010560,평창동,0,8940655.329911664,56659384.43036306,7858702.394842112,4970990.137786259,6.337274208614736,0.8789850525330292,0.5559984088812172,0,2937,11054,4668,3418,732,0,0,15.75,0.0003822985982426802,8.187319307011173e-05,0.0,92.22774232997102
11010570,무악동,1,369245.48226865026,3887658.6776226694,1296617.798018032,673794.3223125166,10.528656041332804,3.5115332760514524,1.8247869091659925,0,1779,4941,1975,1226,229,0,0,94.4,0.0033202843605133177,0.0006201836203568922,2.708225416405643e-06,84.13502377344975
11010580,교남동,2,346667.13479939464,10700320.7638642,5621562.696615504,1880176.911584801,30.86626821448228,16.216024342395553,5.423579921046742,0,1768,6573,2221,4557,389,0,0,63.78,0.013145174556294586,0.0011221138692996695,5.769222978404471e-06,47.49412752207543
11010600,가회동,1,539599.8544892247,14507264.971425015,5361537.909534793,2700124.808875415,26.885227730754902,9.936136685229329,5.003939097484197,0,574,2585,1224,12789,744,0,0,0.0,0.02370089593865592,0.0013787994822394248,1.8532251105368615e-06,58.17469648653157
11010610,종로1·2·3·4가동,15,2415326.730085671,7725003.568787651,61376151.7140197,4799735.48447583,3.1983265338655227,25.411117655226175,1.9871992574294843,0,449,4113,2665,108741,15466,0,0,33.17,0.04502123818076272,0.006403274475162784,6.210339915132662e-06,69.40335655347882
11010630,종로5·6가동,8,602712.8344987278,8522708.340886867,21527570.114579864,1950577.1513311183,14.14057881806208,35.7177894386208,3.236329209669809,0,394,3429,1520,24522,7223,0,0,9.99,0.04068604249980494,0.01198414831482306,1.3273319468168972e-05,46.90530253364731
11010640,이화동,2,781806.2194507818,13324684.881197996,11567791.234371282,5647895.165966493,17.043462369177075,14.796238436805536,7.224162491229776,0,736,5230,1881,17222,1169,0,0,6.96,0.022028476585768474,0.001495255436578989,2.5581786767818458e-06,60.936136702787614
11010730,혜화동,2,1131570.126434548,29991294.262525085,10688685.346062038,9275074.03718179,26.504141070800735,9.445888589990352,8.196640950929414,0,2204,11182,3539,8684,1632,0,0,17.28,0.007674292381052492,0.001442243800768962,1.7674556381972573e-06,55.8533293882795
11010670,창신1동,8,304915.0810513392,5816436.4179367535,10146599.317073729,1443617.4484563763,19.075594417573026,33.276803764800746,4.734490152073886,0,440,3016,1787,5881,2152,0,0,49.69,0.019287337246585483,0.007057702729918714,2.6236813122374402e-05,42.913111665552336
11010680,창신2동,5,257320.96135152745,12967217.859525174,2868611.730612096,549656.3190479183,50.39316576239039,11.14799088090329,2.136072849102371,0,851,5262,2437,2171,820,0,0,13.64,0.008436934125043224,0.0031866817054516097,1.9430986008851277e-05,36.32277050760395
11010690,창신3동,3,216671.88707102317,5615190.268063427,623790.5571900329,1338747.7233483032,25.915638359778608,2.878963974618266,6.178686775868958,0,992,4330,1784,854,240,0,0,80.62,0.003941443495531341,0.0011076656193530702,1.3845820241913377e-05,65.02671088973418
11010700,숭인1동,5,239215.32115701263,8710055.927947901,1866657.863137088,691928.4403715262,36.41094510928471,7.803253797075474,2.8924921573788676,0,732,3810,1647,1509,457,0,0,36.58,0.006308124381993341,0.0019104127518694213,2.0901671245836118e-05,52.89330893626095
11010710,숭인2동,6,351640.31189976155,9912820.582607016,9982704.9842402,1101290.6597486525,28.19022804596067,28.388966356866003,3.1318669176433493,0,688,6313,2433,6852,1713,0,0,29.03,0.019485820504443103,0.004871455126110776,1.7062890108969442e-05,40.28893867952998
11020520,소공동,8,943090.0451435072,1353487.5287231244,21019359.63970928,4521164.020210606,1.4351625655397182,22.287754756769623,4.793989761097133,0,287,1369,394,64145,3849,0,0,60.44,0.06801577466503646,0.004081264583143274,8.48275309564723e-06,71.48309291659353
11020540,회현동,10,897156.106999932,3335208.213932594,26069950.328649692,986073.4344336014,3.717533869423737,29.05843266878823,1.0991102069527308,3,430,2795,2020,45209,8559,1,4,67.11,0.050391453222866506,0.009540145726172098,1.1146332195550998e-05,66.1249232548353
11020550,명동,15,968876.2596072336,2372650.519258704,32852764.892761923,3159666.7704728055,2.448868465639294,33.90811217325099,3.26116646903257,0,234,1680,1022,110383,6959,0,0,32.63,0.11392889329707404,0.007182547751504654,1.5481853178986894e-05,60.38185289207715
11020570,필동,8,1463586.7173389706,5537146.87680314,18222481.58412982,6789374.424176019,3.7832721568220697,12.450565018286817,4.63886037208657,0,386,2433,1176,22422,2884,0,0,29.45,0.01531989853024459,0.0019705016216762733,5.466023915884253e-06,79.12730245280454
11020580,장충동,13,1017158.9421082004,9354340.231802102,8582323.267105695,1640621.0228962975,9.196537379314544,8.437543939118955,1.612944599883168,0,512,3100,1096,9166,804,0,0,9.09,0.009011374349137711,0.0007904369383271568,1.2780696763996317e-05,80.75297408168333
11020590,광희동,16,736648.8912997656,4638160.202422347,31171925.438364506,1155977.4363084286,6.296296997391304,42.3158519703516,1.5692380046466738,0,343,2947,1615,36390,8432,0,0,42.79,0.04939938202485908,0.011446430042143768,2.1719981104637134e-05,49.818613027610425
11020600,을지로동,16,611191.8241216319,528563.9359819288,34184847.47629666,2184799.824277504,0.8648085840178721,55.93145413131968,3.574654859654523,0,88,1027,687,35329,8807,0,0,27.37,0.05780345646834311,0.014409551391680991,2.6178360652537283e-05,39.62908242500792
11020690,신당동,11,534537.9543277827,9169447.992614057,15707591.496693589,3577821.104087247,17.153969925569175,29.385362385439844,6.69329665951709,0,586,5059,1881,29863,11433,0,0,23.44,0.05586694033166654,0.021388565409099673,2.057852002974691e-05,46.76737102947389
11020700,다산동,9,523575.8824797477,21926105.36294592,8858400.696943207,2111660.0220921757,41.87760761458305,16.919038850659543,4.033149907690517,0,1554,9270,3702,9642,1324,0,0,10.32,0.01841566871672857,0.0025287643000361567,1.7189485423206505e-05,37.17020362706689
11020710,약수동,5,485866.1432877514,9205943.89768337,4013250.321439358,1004668.5604279906,18.94749001317263,8.259991721758093,2.067788781555379,0,2315,10127,5083,4027,736,0,0,80.83,0.008288291035607619,0.0015148205120951595,1.0290900218037768e-05,70.7247294835139
11020720,청구동,5,342312.10888944694,9397306.90430139,2455533.555667067,1677602.2419496754,27.452452484923175,7.173376260727328,4.900797250182796,0,1838,8739,3720,4328,790,0,0,76.19,0.012643432374959705,0.0023078353919173213,1.4606553113400769e-05,60.4733740041667
11020650,신당5동,5,319464.4409896149,8147911.234471506,5955933.7379028285,1635221.575162778,25.50490818080244,18.643495092765093,5.118634080517072,0,1265,6866,2423,4006,1142,0,0,63.03,0.012539736777793149,0.0035747327509335434,1.565119418096998e-05,50.73296264591539
11020730,동화동,5,326798.38384191156,5711902.410621271,4820838.596887508,1097475.3590522076,17.478367987842923,14.751721046514064,3.358264340692426,0,1709,6577,2544,3987,947,0,0,81.45,0.012200182733482261,0.002897811148384174,1.5299953264963958e-05,64.41164662495059
11020670,황학동,5,328391.1913211211,5019498.776224171,13504972.5018698,692090.3404887959,15.28512003026231,41.124649073378485,2.107517980931551,0,1294,8647,2709,5602,1906,0,0,50.88,0.01705892285749964,0.005804053367796201,1.5225743357282791e-05,41.482712915427655
11020680,중림동,8,484023.16386115225,6993501.418009729,5060398.005896233,1414194.6299514542,14.448691591991448,10.454867419006144,2.9217498986414885,3,1856,7946,2820,7478,964,1,4,73.12,0.0154496738135257,0.001991640218807004,1.6528134595908747e-05,72.17469109036092
11030510,후암동,5,865244.0803748902,29177250.192889515,5838908.077255607,3087191.3522637677,33.72140977866926,6.748278560571882,3.5680005472284297,3,2419,11243,4234,3551,821,1,4,11.19,0.00410404425814782,0.0009488652030243201,5.778716218174909e-06,55.962311113530426
11030520,용산2가동,6,1965379.646328625,17173080.83806475,3460619.0713317143,2415942.2895423896,8.73779316385232,1.760789106469191,1.229249674003405,0,1099,6406,2897,2003,534,0,0,9.69,0.0010191415199254043,0.00027170323097362254,3.0528452918384554e-06,88.27216805567508
11030530,남영동,8,1176908.797605099,9018210.438621264,15018688.649287574,1588859.749711864,7.662624713973157,12.761132111382992,1.350027931599328,3,502,4888,2381,20308,1605,1,4,16.52,0.01725537275373619,0.0013637420361309132,6.797468092864365e-06,78.22621524304452
11030710,청파동,8,885524.0864885414,31283533.912616603,11625537.725757424,7239585.086542839,35.32770524251732,13.12842632192801,8.175480709113968,3,2039,13135,4657,8433,1576,1,4,1.21,0.009523174048652928,0.001779737021306417,9.034198077697548e-06,43.3683877264407
11030720,원효로1동,8,588618.2441152311,10930061.969152603,15485890.979257816,1650152.118478404,18.56901663926828,26.30888718465582,2.803433524149077,3,2262,10897,2832,10019,1710,0,4,54.34,0.017021218930938223,0.002905108730602292,1.3591151956034114e-05,52.31866265192682
11030570,원효로2동,5,708448.6920712206,11354743.739243528,7788506.058561984,3178136.0109660607,16.027616207529157,10.993747529960862,4.486049655444295,3,2400,8800,3362,6759,870,0,4,68.46,0.009540563876466455,0.0012280352970152118,7.057674120777079e-06,68.49258660706569
11030580,효창동,6,445853.9028966531,10196723.611724582,3133723.843848775,1370545.2230803529,22.87010059904788,7.028589014225044,3.073978301358593,0,1596,6560,2022,2115,351,0,0,46.22,0.004743706371552858,0.0007872533978321765,1.3457323039866265e-05,67.02733208536849
11030590,용문동,6,277325.00179992145,9503198.310856553,4105463.3220321266,498830.9726695942,34.26736950934095,14.803798054219609,1.798723409112173,0,1779,7776,2889,1715,556,0,0,54.22,0.0061840800101227835,0.0020048679216491355,2.1635265341537434e-05,49.130109027327265
11030730,한강로동,10,2867675.9439971372,13893487.959276572,33458321.992731832,4010304.832189744,4.844859820496664,11.667399889715444,1.3984511885258355,3,1827,11866,4297,41402,4875,0,4,46.24,0.014437475087281673,0.0016999828764431226,3.48714436193461e-06,82.08928910126205
11030630,이촌1동,4,2870622.4573845994,11811922.048371606,2374710.7870603586,2097604.679849876,4.114759855649339,0.8272459448477729,0.7307142304463773,0,5873,16365,6104,3590,790,0,0,99.47,0.0012505998449055238,0.0002752016371797671,1.3934260110367954e-06,94.3272799690565
11030640,이촌2동,1,1204647.7115449945,3591371.0708273584,1927177.5840053365,605768.0906223434,2.981262518833265,1.599785203205738,0.502859122062689,0,1125,5253,2522,767,281,0,0,84.08,0.0006367006657987454,0.00023326321654426003,8.301182083425624e-07,94.91609315589831
