dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
11040550,사근동,0,1169235.04,0.12,1.24,32.29,0,987,8867,2093,11029,1205,40.19,9,0
11040560,행당1동,0,573574.98,3.7,2.73,74.11,0,1828,8626,3231,9568,1543,80.32,9,0
11040570,행당2동,0,457676.35,0.0,0.0,75.43,0,3435,13558,5858,2131,930,95.74,8,0
11040580,응봉동,0,553593.41,0.0,0.0,51.48,0,2460,8812,3669,1006,553,73.28,2,0
11040590,금호1가동,0,445441.26,0.0,0.0,70.23,0,2104,8632,4009,2109,870,85.05,3,0
11040620,금호4가동,0,831854.66,0.0,0.0,37.31,0,2115,8371,3668,2271,943,85.6,4,0
11040650,성수1가1동,0,1885905.37,0.0,23.91,26.47,0,1721,9794,3877,15977,2863,69.16,4,0
11040660,성수1가2동,0,930100.68,1.17,0.51,42.43,0,1339,7648,2956,28072,4557,66.72,4,0
11040670,성수2가1동,0,1184983.65,3.02,5.78,31.33,0,1299,8743,4563,17452,3164,46.49,1,0
11040680,성수2가3동,0,1054518.46,26.1,0.0,24.71,0,944,6387,2716,62482,7704,67.17,3,0
11040690,송정동,0,681926.68,0.0,0.0,39.69,0,857,6009,2854,2756,913,34.92,1,0
11040700,용답동,0,2377186.4,6.57,8.21,11.89,0,821,8046,3172,11442,2317,24.56,5,0
11040710,왕십리도선동,0,710297.02,5.86,2.37,74.79,0,3606,16714,5949,10293,3148,86.54,10,0
11040720,금호2·3가동,0,631206.23,0.0,2.3,77.37,0,2832,13347,5774,2969,1422,68.77,2,0
11040730,옥수동,0,1922203.17,0.0,0.0,29.33,0,3896,15232,6274,4729,1361,95.95,4,0
11050530,화양동,0,1136335.58,4.52,0.0,41.21,0,916,19028,3249,16150,2999,28.52,4,0
11050540,군자동,0,738037.47,0.45,0.0,67.46,0,1578,12833,4659,9773,2286,16.8,3,0
11050550,중곡1동,0,614514.79,2.78,2.74,56.76,0,1235,10124,3880,6454,1977,10.82,3,0
11050560,중곡2동,0,545550.94,0.0,0.0,75.64,0,2070,13139,5312,7667,2133,5.88,4,0
11050570,중곡3동,0,601876.05,0.85,6.82,62.27,0,1442,9782,4503,5696,1537,11.74,2,0
11050580,중곡4동,0,2313505.98,0.34,0.0,25.05,0,2677,16666,8251,4421,1692,4.16,3,0
11050590,능동,0,1092122.62,0.0,0.0,13.4,0,924,7760,2413,6811,1146,1.39,4,0
11050600,구의1동,0,595014.14,1.25,0.0,77.3,0,2022,16006,5099,6825,2280,16.86,1,0
11050610,구의2동,0,1388063.3,0.74,7.56,42.56,0,3452,15328,6830,5372,1652,20.31,2,0
11050620,구의3동,0,1027578.03,7.29,4.4,47.73,0,3858,17322,6660,15629,3261,66.32,2,0
11050630,광장동,0,2393800.15,8.2,0.13,22.12,0,7792,20057,6122,12054,2088,87.85,1,0
11050640,자양1동,0,568877.08,2.02,2.8,83.03,0,2101,14218,5514,10177,2067,16.51,1,0
11050650,자양2동,0,1657549.85,0.28,19.57,28.52,0,2885,14363,6380,5573,1871,38.85,2,0
11050660,자양3동,0,1196438.64,0.0,15.38,34.09,0,4368,16089,6764,7030,1809,82.56,4,0
11050670,자양4동,0,1180042.06,2.81,6.22,41.4,0,1692,12336,5855,5834,2084,41.86,4,0
11060710,회기동,0,766929.29,3.35,4.97,36.51,0,1011,7323,2060,11644,1318,52.14,3,0
