dong_code,o_강원,o_경남,o_경북,o_광주,o_대구,o_대전,o_부산,o_세종,o_울산,o_전남,o_전북,o_제주,o_충남,o_충북,d_강원,d_경남,d_경북,d_광주,d_대구,d_대전,d_부산,d_세종,d_울산,d_전남,d_전북,d_제주,d_충남,d_충북
31192650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,15,206,24
11220560,0,2,0,24,0,14,28,0,0,20,0,0,32,0,0,0,15,31,0,0,0,0,33,0,0,0,31,0
23090770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
11060820,12,0,14,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,0,9,0,2,0,0,0,0,0,0
11220570,4,3,0,0,0,0,0,0,0,14,5,0,93,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0
11060830,3,1,0,0,9,0,0,0,0,0,0,0,0,5,6,0,0,9,0,0,0,0,0,10,0,0,0,0
31192670,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,48,0
11220580,0,2,0,0,0,0,1,0,0,0,3,0,18,3,0,0,0,0,0,0,0,0,23,0,0,16,25,0
11060840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220590,4,0,4,0,0,6,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
31270510,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11220600,49,5,22,0,0,22,0,0,0,45,53,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31270520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
11220610,0,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,32
11060870,3,0,0,0,0,0,0,0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,21,3,15,0,0,0
11220620,2,3,6,0,0,0,0,0,0,6,0,0,8,0,0,2,0,0,0,0,0,0,0,6,0,0,0,5
11060880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220630,0,2,0,0,0,19,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3
11130520,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
11060890,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,97,0,48,0,0,6,0,0,8,0
11220640,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0
11060900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31012520,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,174,0,0,0,0
11220650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060910,0,0,0,0,0,0,0,0,0,0,0,0,0,117,51,0,0,0,0,10,4,0,0,6,23,0,0,0
31012530,0,0,0,12,0,8,0,0,0,3,0,0,3,0,0,83,0,0,0,0,0,0,0,0,0,0,1,0
11220660,5,0,0,15,0,41,0,12,0,21,0,0,0,0,0,0,0,0,32,0,0,0,19,6,0,0,25,0
31012540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630
11220670,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31250110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,23,0,0,0,0,0,7,0
31012550,29,0,0,0,0,0,33,0,0,9,0,0,3,124,154,0,0,0,7,0,28,0,0,5,0,0,2,2
11220680,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31250120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,58,0,32,0,0,0,0,0
31012560,0,0,7,0,0,18,0,0,0,0,6,0,6,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0
31012570,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,613,0
31250140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31180510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
31180520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,41,123,0,0,0,0,0,0,0
31180530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,1600
23320310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31012600,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0
11130620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,32,0,0,2,0,0,15,0
31180540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
23320320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31012610,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0
31180550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11040520,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
23320330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31012620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,217,0,0,0,0,1069,0
11130640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31180560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23320340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
